type,blockTime,delegator,id,indexer,logIndex,tokens
stakeDelegatedWithdrawns,1610798636,0xe4369be6df50aa406db8212ae00cf81917c848ea,0x109deff91d5c101534bf05d0ebc0026b49b2253cee2c070aa6d206e706596767-246,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,246,63951707761229540017576
stakeDelegatedWithdrawns,1610800790,0xfe7c442da0297313444b919ba17ca666d631d121,0x1ff45d0e4584ec90aba75a2ae394831392b65cb20af449887ad4732c12bc0d47-176,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,176,18167407271115301580346
stakeDelegatedWithdrawns,1610888083,0x0814b3ef40b1c2cc5fcc6d7ed7f4e43acfed4828,0x13002e537e928b2c43d49fced8eaf564ed824867e156a0eb2c75a2c0eb2c08e8-247,0x5a8904be09625965d9aec4bffd30d853438a053e,247,497500000000000000000
stakeDelegatedWithdrawns,1610900500,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0x0f1a017d276dbaebbbf0fce83bdd22d8cd4ce0b32757397f5acaa9905e4f18f2-208,0x48b5687f0595e2a4d581dc72305fbae214345d07,208,9716496596990721870150
stakeDelegatedWithdrawns,1610926238,0x203d7620fb3cdc3f25339d8a4368c95abb175349,0x1f2521262f409c9b2f8f4e205d7ad5f216ffac0091546c12d769e176d4447587-176,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,176,536486633269999999998
stakeDelegatedWithdrawns,1610977733,0x16faa6e97aec501eb03d692eb5751e37519cdbb3,0x0fe90c5ce9e01226c9800a2cc309de697fc871adb07a3dbcc1d6e24ac28fceff-111,0xe758697c5fc77f6b64bcf54191c08ad051bbdc4b,111,8365581900000000000000
stakeDelegatedWithdrawns,1611008541,0xbaadc1f3bbec2977098d88a75aaa3ecf689ceb98,0x1f79b69d49313b873aa1564315b74324ea4d9e0ba60bf56e329fae520cae60d6-169,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,169,15760007671776946564999
stakeDelegatedWithdrawns,1611048588,0x9327775e225a703125167eb423d246915bdc37e7,0x24c86f83b23bf5d0c6c7a1ef0fbc453fad89e171bfc78215d30f5bfdc3f1f79d-144,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,144,10023931422056736412088
stakeDelegatedWithdrawns,1611063318,0xe1541e161c8cbfdff225ecc10c034f6ac4d81cea,0x0dcc8bfc0467711592b07f0692b08ba3bf3c9ac48873fc0a0a2032fec1ba7f78-125,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,125,107568282387567800481095
stakeDelegatedWithdrawns,1611081835,0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b,0x155e89c6d2e975dfcaa4ce06d9307963838fdba33922ce662f4ac7493376d69e-213,0x4fedde33607cfda2c82a999accb427d1170987d9,213,100230147712329222464505
stakeDelegatedWithdrawns,1611093544,0x115b72c42fa4d48777a26f612a26bdecf3d40b2d,0x1bbf8240a8fadfd308e820851d114dc1d408a08d2c49a7de681ea1cc6e16d217-57,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,57,299313449482200374265
stakeDelegatedWithdrawns,1611096758,0x52e5f9650266a222395d1079079c24e77f946fff,0x0b52807ef8170ac81a75d367f8bf87ab56fe2a04fa12ffa68b7218abdcd9fc55-264,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,264,344993413312879631763
stakeDelegatedWithdrawns,1611153693,0xc097c73f56cffb89eb9e2536f209e47ae9b1fbbf,0x0a0498a94046dd46162222e323a20e70c6d8b19c993008d30b4cc734ad2c2dfd-170,0x19fbac0891042be71ce60321a17720358575f580,170,1099125938554648258170
stakeDelegatedWithdrawns,1611155103,0x10ccd4136471c7c266a9fc4569622989fb4cab99,0x1888947553e92892448b0949d5dd32c642607b5b762dba0aa27f326f5b27167d-114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,114,11869669852833533468258
stakeDelegatedWithdrawns,1611171377,0x9e3ad1c689a44a1d30cc99391cf1f6856cb08579,0x295bdf1e05f5da1c2e275be2c44b056a38aef4ff812bbd7828624ea9231e5155-177,0x5a8904be09625965d9aec4bffd30d853438a053e,177,472801015336545163856
stakeDelegatedWithdrawns,1611175457,0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b,0x08e059e2a914d8eb7ba50a2a311bcf053a13f9064c9e4aca9b85bb967fd37f84-250,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,250,99907469910325430879372
stakeDelegatedWithdrawns,1611178372,0xe0e883d3c92831e97241ac4fb0922700e0574d62,0x299baafec50d3525160e286ca7005cad79a2d7678a992becc3ca236cb965e506-242,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,242,3979999999999999999999
stakeDelegatedWithdrawns,1611200294,0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,0x1568f7ddc29320e1d026b7f7bf9d13294c4ba26164ea0d289d68805f5800945b-180,0x19fbac0891042be71ce60321a17720358575f580,180,7733398191402564941475
stakeDelegatedWithdrawns,1611200415,0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,0x2c8c4a8bed90aaecc9a0437d988cf8a2f7bd2a7f9c928ac8225fd5d27caffc4f-197,0x27ac40b9198659ce99eef1890d853a40560c9425,197,1450554288380893337500
stakeDelegatedWithdrawns,1611201005,0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,0x3710d6e5dc8f1655b86b589deecc052d9978c2219ba3e11ef91f16e5a6d6b282-138,0x7fd833cf8775e9c3524b8be925723345164964be,138,1546073953910044907355
stakeDelegatedWithdrawns,1611201152,0x1819eba4f13d2693756d38acf8d3e9aabbd8fdb5,0x34dc030977a6a38b98dd6e180e370df63c4319f98efbbc86251422d3b13c15a2-251,0xc36157756ea4838cf882edab9dd94325c38f2edc,251,2129300000000000000000
stakeDelegatedWithdrawns,1611223781,0x065823e171f037b889c4e1029e8aa34d6b134307,0x0d64453d7cc822bad5ee5507c3928aec3a3e0ddbe32a895a809c05a4b5b600b1-241,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,241,49883840193353376125952
