type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11480004,0xcd46cd81694848ab908ffd7a4d713a3baa0b758d,0x00c800314f7714a9c05df27dcd59bf5d2efebf2974b017ef7c3eb1f059afa3a2-105,0x72acbecf3013d7b27421185d3bf369520bf552c8,105,74625000000000000000,74625000000000000000
stakeDelegates,11483562,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0x00c4de85b848b3a6beccd473eec685c441c7812a3060bde160463e04f328edff-246,0x72acbecf3013d7b27421185d3bf369520bf552c8,246,1989998481864750991763,1990000000000000000000
stakeDelegates,11484422,0xb0a77500188c201306a4ee907da1a89e00a6073a,0x0116e9a86aa308271fdf63a47c80ffce39d382bddba6b0ba37ae83b79e835573-262,0x03db85e86779febdd96d96ba43ac48382fb1a88d,262,19900000000000000000000,19900000000000000000000
stakeDelegates,11487385,0x63f8168f665f79101a0e0da2313cd1391e1c5e27,0x017ab924b9dbfd3021b9e936a75666e073ef7971287e80016299197c0d75ba3e-237,0x8b7663dd451c951f39e541188d9f7d9419e94421,237,124375000000000000000,124375000000000000000
stakeDelegates,11489641,0x38148ecc2078da7f65e6233dda28efaf4c51e96f,0x003a6fc3470ff4ec8cb3e5e8574b2c00ee286a2f5ff33b8cc4060d957168be95-14,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,14,139266872125911051830786,144377382912990050000000
stakeDelegates,11492456,0x2a87c1345024ab463acc26417124c433b3069fdd,0x00a43a8f1bb90e387366d000765efa529763316aaec7a41810c6ea091d9cc8df-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260,98758743719419948972,99500000000000000000
stakeDelegates,11493359,0xbecfbd38ad4e13968007ea56678504e738bda8a9,0x002a8e3388d1c6cfa2dcf9c3e5855149ea1bd22bc5453aecf1861135b49950d9-314,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,314,4912171756325173641205,4975000000000000000000
stakeDelegates,11508217,0xad6ee7c40d7d80a6c404e82e77cde5c5088e98a5,0x000fbac2c251afe867e40bf1859c04d02fec5c65677e8393586f06549c9978f9-231,0x2c313e9fd1794685d2052af79457c858813b108f,231,497500000000000000000,497500000000000000000
stakeDelegates,11518058,0xfd7355b13567a3c60f98c60dd5729d59e1255e34,0x00a4e111c2478edf39f1d813f6568eadfd26fd88a82f580c353909aa2372497f-231,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,231,41085961610598623148,41790000000000000000
stakeDelegates,11525815,0x3e1f1fc109b0130a8ba13a1546c713d030b8613f,0x01269792b3133defe7f9c477ec84d9eea1058be752e9bf904c21701d6411efee-225,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,225,38791725529931981180791,39800000000000000000000
stakeDelegates,11531440,0x529109d3e06f2acfc520f27042274e8dcd44eddd,0x00dca2300920eb346ce1b52d40f530d87211eb319ea931576a890a1137f2f240-69,0x5a8904be09625965d9aec4bffd30d853438a053e,69,13932763653720292364257,13999921103331700000000
stakeDelegates,11532675,0x5f663a56bece3cd1c1e3a83e1d077559bc3cd622,0x0100f2e2304afbf41e054b9e4340f4b7cc250dcc944f581351f33604774e9951-154,0x4fedde33607cfda2c82a999accb427d1170987d9,154,1053502603586417961197,1318472871672550000000
