allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,12285993,,0x1d3514779bd347786521e55353e04786fb279098eadbcfc7ca8c77829ced83dd-259,0xd133fd8e0607f5d82c91626140495ea0a31d0398,259,,11608267000000000000000,stakeDelegateds,,,,,,0x476c4c3f95e87d4b16454bfc2bdf96417afaa649,11608267000000000000000,,,,,,,
,12286010,,0xd21a215824332d447d1b9c9248f50473967e69aa373bb3b66e5ed3ce2f7ef06c-282,0xd133fd8e0607f5d82c91626140495ea0a31d0398,282,,104474403000000000000000,stakeDelegateds,,,,,,0x476c4c3f95e87d4b16454bfc2bdf96417afaa649,104474403000000000000000,,,,,,,
,12286028,,0x6fa866a855a2cdc08f531c955367ecd8961eaafc82013fa585ff4faa2a7e478c-264,0xd133fd8e0607f5d82c91626140495ea0a31d0398,264,,116082670000000000000000,stakeDelegateds,,,,,,0x8eb8f9db64a7e4e066d1d2fa09c6b05066933f4a,116082670000000000000000,,,,,,,
,12286028,,0x0618d99899d2377a745ea4dd6136883a25163b657476a5a5f1398e64725f47cd-375,0xd133fd8e0607f5d82c91626140495ea0a31d0398,375,,116082670000000000000000,stakeDelegateds,,,,,,0x47195d4d9544351a402295224f66a139aff34cfe,116082670000000000000000,,,,,,,
,12286037,,0x1ad11dc6988865d9b2dba0a293a627ab2ac52d7f5c03a266baec1cd4fab23b4b-218,0xd133fd8e0607f5d82c91626140495ea0a31d0398,218,,116082670000000000000000,stakeDelegateds,,,,,,0x392bee54b66bd3d476575435ed36231444fff749,116082670000000000000000,,,,,,,
,12286040,,0xf9fd4aae2c836f3328c36bfb82c7c32039758251496130c59447e7916b4239ef-343,0xd133fd8e0607f5d82c91626140495ea0a31d0398,343,,116082670000000000000000,stakeDelegateds,,,,,,0x64bd4397302c775c087f422d11491c97ecd4d524,116082670000000000000000,,,,,,,
,12286059,,0x16b414b823415c33ed2202192cc2ff4f5ae0f8847cfa14642d78989fcea87a77-318,0xd133fd8e0607f5d82c91626140495ea0a31d0398,318,,116082670000000000000000,stakeDelegateds,,,,,,0xfc7759c0b4d5bf1fee3a7da7214570a809028d45,116082670000000000000000,,,,,,,
,12286061,,0x5dfc7c1b90fa7f903ee3805fc8825ef72f70e249a93997c0fd978afd9eda4acc-255,0xd133fd8e0607f5d82c91626140495ea0a31d0398,255,,116082670000000000000000,stakeDelegateds,,,,,,0x4172c8054d1af5a8ac12b87729d9f2bc3951f39f,116082670000000000000000,,,,,,,
,12286062,,0x73af705f45dbfaab4ec01031c1cf4101825aaedc5c344e86fe6e6ce8f570c84c-357,0xd133fd8e0607f5d82c91626140495ea0a31d0398,357,,116082670000000000000000,stakeDelegateds,,,,,,0x59a8bd8cedc03a9859b365608250568c20958548,116082670000000000000000,,,,,,,
,12286171,,0x117c421bba5acc3d56fdd2122fb01beec933751ad0cac422f58a7bdfd71a54f2-171,0xd133fd8e0607f5d82c91626140495ea0a31d0398,171,,116082670000000000000000,stakeDelegateds,,,,,,0xbdc6e3b66019f0db3d833091a46b4e616fe3e390,116082670000000000000000,,,,,,,
,12286175,,0xe3df6fb925c3f2bf63339eefc93672ebffdcbb88e81c196ca0de62a52bed4260-292,0xd133fd8e0607f5d82c91626140495ea0a31d0398,292,,116082670000000000000000,stakeDelegateds,,,,,,0x56e07f2a074b6e780947c85a7670a4fd43a0aa76,116082670000000000000000,,,,,,,
,12286268,,0x100ea7033fb8392c38d0c478e866d62e714db484a8b76b67d474d9aab0ece548-92,0xd133fd8e0607f5d82c91626140495ea0a31d0398,92,,87062500000000000000000,stakeDelegateds,,,,,,0xcfc0977d1946f0ef097fbc7ac6388be6284a64e6,87062500000000000000000,,,,,,,
,12286322,,0x94c2a0bbf7cfa30a1df6887a7e3c769e388d61ed4bf2e020cbc2fdb8e3eefacd-331,0xd133fd8e0607f5d82c91626140495ea0a31d0398,331,,145103835000000000000000,stakeDelegateds,,,,,,0x1f585b955157eb367a36fadc16e4c4d694eb72b3,145103835000000000000000,,,,,,,
,12286337,,0x7523ed0d329fab3fab6f8a8a5f57c23bae34d41517d2c39fd452daef61f44831-323,0xd133fd8e0607f5d82c91626140495ea0a31d0398,323,,232166335000000000000000,stakeDelegateds,,,,,,0x0fb3e60143fa94b058f6c6c379826f44671aa291,232166335000000000000000,,,,,,,
,12286403,,0x3ab5ca3c2908808c9964b55e2748b28f62f684ae3ec5ebda3bf8dccd8f303e07-245,0xd133fd8e0607f5d82c91626140495ea0a31d0398,245,,116082670000000000000000,stakeDelegateds,,,,,,0x5b262e25b91ef437fcdaa2d4c57d235fe97769eb,116082670000000000000000,,,,,,,
,12286507,,0xe9ba881a8a606e835476fbadde9b583bcc9c02eb35a0068d6db6d3c2278ddca0-206,0xd133fd8e0607f5d82c91626140495ea0a31d0398,206,,116082670000000000000000,stakeDelegateds,,,,,,0xeac90efbe731ce2d3d6f4b4802436932b387288e,116082670000000000000000,,,,,,,
,12286547,,0xf630d25f1010731e92e87e89a71a07a8fbb52d92f826bfab1744a51a0bbf5a0b-359,0xd133fd8e0607f5d82c91626140495ea0a31d0398,359,,145103835000000000000000,stakeDelegateds,,,,,,0x7a6f26218cdd4c6ea5b9508d2547820cbf2fe4a8,145103835000000000000000,,,,,,,
,12286605,,0xa07ec2046a6d7d007b7a7bcebe9c22d339b14af010074bd19fef34122e20faee-318,0xd133fd8e0607f5d82c91626140495ea0a31d0398,318,,145103835000000000000000,stakeDelegateds,,,,,,0x93dde9b66cb8b5fa8454ee9c289e065a042bf903,145103835000000000000000,,,,,,,
,12286619,,0x46ffffa4d69df102fd21d01838b3abfa174007045eec9efe22d5adce055703e6-230,0xd133fd8e0607f5d82c91626140495ea0a31d0398,230,,116082670000000000000000,stakeDelegateds,,,,,,0x8e04217c6d273f3dcbea4ded800112b275c969f9,116082670000000000000000,,,,,,,
,12286637,,0x6b81139ff0dec5f34e453e06bb2db67155acf07e48d3cf184e3a56670fb8376c-192,0xd133fd8e0607f5d82c91626140495ea0a31d0398,192,,116082670000000000000000,stakeDelegateds,,,,,,0xe591f3b673d5536123417ee88291355e39500b88,116082670000000000000000,,,,,,,
,12286661,,0x74633acc72637650823fac865f41b5181ffbd6c118d7c7e41b85491d192eb991-118,0xd133fd8e0607f5d82c91626140495ea0a31d0398,118,,145103835000000000000000,stakeDelegateds,,,,,,0xb43687c75549bec612735047e3dc7eace398815f,145103835000000000000000,,,,,,,
,12288903,,0xa047f6b27948159bd2e6d41f29b46fc229b39e5fc1a950fe6354610a9e7d2971-260,0xd133fd8e0607f5d82c91626140495ea0a31d0398,260,,145103835000000000000000,stakeDelegateds,,,,,,0xf086ffa9b82a9e7a35ac8fec7c7642bde5cd2bb8,145103835000000000000000,,,,,,,
,12288912,,0x108e81bc1ab249e4c37184ae8792cb73e41f7b1da031e93170bced099e660545-157,0xd133fd8e0607f5d82c91626140495ea0a31d0398,157,,87062500000000000000000,stakeDelegateds,,,,,,0x8faba38edd4dd7cb115a0ab17b45d09a9f62b544,87062500000000000000000,,,,,,,
,12289035,,0x21b64936a71fada42a12dc656d46e7f797aefc36d2a80dcba5c610f6cac30441-268,0xd133fd8e0607f5d82c91626140495ea0a31d0398,268,,116082670000000000000000,stakeDelegateds,,,,,,0x521d5930955f4023e220c604b55d0a3a0ed43ce6,116082670000000000000000,,,,,,,
,12292664,,0x71e90dcf3bc33b985b5ef123f99920118c36d69974a159b764c315dac74991f2-271,0xd133fd8e0607f5d82c91626140495ea0a31d0398,271,,116082670000000000000000,stakeDelegateds,,,,,,0x17f3d60b6201fdb6306a5816afe9cafe1fcf5567,116082670000000000000000,,,,,,,
,12292665,,0xbc4341a404df37512998783f3897f7b1c194abd4feede28be061edba35e371fc-220,0xd133fd8e0607f5d82c91626140495ea0a31d0398,220,,116082670000000000000000,stakeDelegateds,,,,,,0xd909b5ef62b01b49636519dd06699f05c89cdf66,116082670000000000000000,,,,,,,
,12292670,,0x92571fa645d3f38257f1bdf87ecae025a1b0f1699804ca1bbd244ee94851e1d9-376,0xd133fd8e0607f5d82c91626140495ea0a31d0398,376,,87062500000000000000000,stakeDelegateds,,,,,,0x7c79b2df88a1dd86c900970db279ff5ba11d99b2,87062500000000000000000,,,,,,,
,12292675,,0x8cad8fa5b4de878b99ba16974750e9ed79d8f80416e7390c0c6b883c2435080b-215,0xd133fd8e0607f5d82c91626140495ea0a31d0398,215,,87062500000000000000000,stakeDelegateds,,,,,,0x06f18d8c075e23384568917f3ac7e5f5eaf59f3e,87062500000000000000000,,,,,,,
,12292689,,0x094dc63cd72fd30ef833cca32c2215342c8f23ab16fc6733b3a07c0b7b6ff5a6-107,0xd133fd8e0607f5d82c91626140495ea0a31d0398,107,,87062500000000000000000,stakeDelegateds,,,,,,0xd1127906ab50887f7ff199f9108a82b587801eb9,87062500000000000000000,,,,,,,
,12292690,,0x6b0c5b91e5ca516ee57e82dcbc2a8360d9d22d6890f65fb258f0f93d3214c9d7-341,0xd133fd8e0607f5d82c91626140495ea0a31d0398,341,,116082670000000000000000,stakeDelegateds,,,,,,0x19d618ed1b5e14fb423228c74eebac18e0906177,116082670000000000000000,,,,,,,
,12292706,,0x35e5f1e2203f3f0e12d0c6b354a16482d7d37df69a7acfc35f69e47b8c6d3555-429,0xd133fd8e0607f5d82c91626140495ea0a31d0398,429,,116082670000000000000000,stakeDelegateds,,,,,,0x07fbe572227f5ec81239868a6f1647b659ed7730,116082670000000000000000,,,,,,,
,12292741,,0x789f42709bb299362d033ec0814e608a5041aa22379f694cf404a6e0ff5f6d54-158,0xd133fd8e0607f5d82c91626140495ea0a31d0398,158,,145103835000000000000000,stakeDelegateds,,,,,,0xd10720cdd6eff484f5d3b369b0d58dccf9990a21,145103835000000000000000,,,,,,,
,12292755,,0x981df0800740c9630c26d78e743f16adb84d06bff9af1945c18375ab012a73e4-33,0xd133fd8e0607f5d82c91626140495ea0a31d0398,33,,116082670000000000000000,stakeDelegateds,,,,,,0x48392a1624585c7462943108bd7622e941bc4be0,116082670000000000000000,,,,,,,
,12292755,,0xa1c255dbf77a25164d548b8921b22b6000fd2172c7a02e542df8960b6f969cbd-279,0xd133fd8e0607f5d82c91626140495ea0a31d0398,279,,87062500000000000000000,stakeDelegateds,,,,,,0x1d096f6144d872fce1fb9e05c1a93a81c3a7bbbb,87062500000000000000000,,,,,,,
,12292761,,0x3ba07d1dc4f7b0a2bf3020438b403ecd5b421e158da5f9245646ca53b29c204b-70,0xd133fd8e0607f5d82c91626140495ea0a31d0398,70,,145103835000000000000000,stakeDelegateds,,,,,,0xef948997e050159a6fb17075edb04aad0c262fe2,145103835000000000000000,,,,,,,
,12292764,,0x5667249a0226af03d23da2934845d6e69a419d2f8ffe3ab324630af601c39e26-324,0xd133fd8e0607f5d82c91626140495ea0a31d0398,324,,87062500000000000000000,stakeDelegateds,,,,,,0x351074d6991f8d3e19201145860655370588f5ee,87062500000000000000000,,,,,,,
,12292773,,0xe63e424c88461bd54a362b567359ed905de4fafb8040de0a0eb77279b8639c91-315,0xd133fd8e0607f5d82c91626140495ea0a31d0398,315,,116082670000000000000000,stakeDelegateds,,,,,,0x85b603f6de9c22f3b7aa05aa9efd3de3318c009b,116082670000000000000000,,,,,,,
