allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,13023229,,0xe27e956da2ad9c3d6cd64dddee7151b75a9a9b209c129cf992cce7cdfbacf63a-382,0xd133fd8e0607f5d82c91626140495ea0a31d0398,382,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x550a564b5afd72c6bafafd16386e79fb0ac26cc3,8333000000000000000000,1628943311.0,265.0,,,,,
,13023233,,0x674b0cc407a756d2b4da4cb65db5d5310cffb36f3dca2fe9a9bba3532bb37076-563,0xd133fd8e0607f5d82c91626140495ea0a31d0398,563,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x13f7d63b64f9dd4d4306372b9fd1e6d5a75839ae,6250000000000000000000,1628943348.0,265.0,,,,,
,13023234,,0x51711cf50556593fefe24be8d6f70fb9717f2f86ff3f0724f64672af05f072b0-106,0xd133fd8e0607f5d82c91626140495ea0a31d0398,106,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x476c4c3f95e87d4b16454bfc2bdf96417afaa649,8333000000000000000000,1628943341.0,265.0,,,,,
,13023252,,0x7a874876ed3a482747a28d4e20c4cfc7427241ce6d06f2f49dac368527fc73d2-178,0xd133fd8e0607f5d82c91626140495ea0a31d0398,178,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x47195d4d9544351a402295224f66a139aff34cfe,8333000000000000000000,1628943599.0,265.0,,,,,
,13023252,,0x9a0fb0c25e9e093ebf845bda08b926a591a9a1ef88263a543a135449a3fa6a51-595,0xd133fd8e0607f5d82c91626140495ea0a31d0398,595,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x8eb8f9db64a7e4e066d1d2fa09c6b05066933f4a,8333000000000000000000,1628943609.0,265.0,,,,,
,13023255,,0x3abab41c9e7c33351bf7d552d662a5ceac7aaa97cd4cfe1dfb9c839a78430820-232,0xd133fd8e0607f5d82c91626140495ea0a31d0398,232,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x392bee54b66bd3d476575435ed36231444fff749,8333000000000000000000,1628943604.0,265.0,,,,,
,13023264,,0xf814269f3f18749abf95cd3e8a22f57e6b5d99a71d34f83e2c838d958f064401-373,0xd133fd8e0607f5d82c91626140495ea0a31d0398,373,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xdfbf59ed1938fcf8c6344cfd737d50d5f4d0b4fd,6250000000000000000000,1628943761.0,265.0,,,,,
,13023364,,0xa9ef30f4d5b540598bbfc75d9ea481bdd79ca623697a42b560f859461e47d0ab-222,0xd133fd8e0607f5d82c91626140495ea0a31d0398,222,,12500000000000000000000,stakeDelegatedLockeds,,,,,,0x672fa9e0b8c1547880d4d427aa83270ebf8d22cd,12500000000000000000000,1628945314.0,265.0,,,,,
,13023421,,0xec1ee681bbb1df4f250cf61fa4222a5624ad8fb361c2d0ee405fb4cd57457e9f-320,0xd133fd8e0607f5d82c91626140495ea0a31d0398,320,,8333000000000000000000,stakeDelegatedLockeds,,,,,,0x64bd4397302c775c087f422d11491c97ecd4d524,8333000000000000000000,1628945946.0,265.0,,,,,
,13023680,,0xe4aba317c351992c315f89d648f619a13aa1213eb4189dbce7f7b2ce2564c58d-409,0xd133fd8e0607f5d82c91626140495ea0a31d0398,409,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x91a39ce4a431b7e8333b004d5fefbe9e69832cc2,6250000000000000000000,1628949364.0,265.0,,,,,
,13023683,,0x0541095d12c71341f7fc542fa17a904cae4e599c687bb036dbb745afa0e8398e-492,0xd133fd8e0607f5d82c91626140495ea0a31d0398,492,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x56abe7979d8b0835cf7a79e66adb32a0c0b15153,6250000000000000000000,1628949399.0,265.0,,,,,
,13023723,,0x7fd10c248681f376f7fe96c61382f6de1dfc4c109e1a37d000b7b6d29f72ebe7-451,0xd133fd8e0607f5d82c91626140495ea0a31d0398,451,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xee7526359606a52fb2c9e9f1e865bf1e52974cb9,6250000000000000000000,1628949969.0,265.0,,,,,
,13023723,,0xe7b188cc98d0b2e1172ebb2e93e7e3e5b7f07a2311e561b36ea557001a07a8b9-464,0xd133fd8e0607f5d82c91626140495ea0a31d0398,464,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xc32d747cea8073326cacc2e27472874218cbde28,6250000000000000000000,1628949969.0,265.0,,,,,
,13024078,,0x3a059e9ace8013c65e5f206c1138a68180fd98b3e344b62bdd483e021e86d135-306,0xd133fd8e0607f5d82c91626140495ea0a31d0398,306,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x4172c8054d1af5a8ac12b87729d9f2bc3951f39f,8333312500000000000000,1628954658.0,265.0,,,,,
,13025965,,0xb966db470ed8c016840c8aaf583a5a073577d7dd426557df4c73703566346d30-456,0xd133fd8e0607f5d82c91626140495ea0a31d0398,456,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x88481956700dc4d6dc3ad672be0be01d6dc9b52e,8333312500000000000000,1628979579.0,265.0,,,,,
