allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,13244150,,0xf3a941f26dd96d8972f21d45fa3c086dcfea3ef855ac26c0a317bbad657493bd-390,0xd133fd8e0607f5d82c91626140495ea0a31d0398,390,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0x4172c8054d1af5a8ac12b87729d9f2bc3951f39f,,,,,,,,
,13244193,,0x2151be83afc971e530b9230a19db4c8d4e044bf26d82e5b263745b39ea3536d1-131,0xd133fd8e0607f5d82c91626140495ea0a31d0398,131,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x64bd4397302c775c087f422d11491c97ecd4d524,,,,,,,,
,13244239,,0x44519f00589b9b93471d77fd69f62341356f6c3d209735a63f22510d1398f93e-311,0xd133fd8e0607f5d82c91626140495ea0a31d0398,311,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0xfc7759c0b4d5bf1fee3a7da7214570a809028d45,,,,,,,,
,13244250,,0x411fde3ae65fb39fba342a82621cfd44ac7a59728ddf4dbe6318ade933747df9-267,0xd133fd8e0607f5d82c91626140495ea0a31d0398,267,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0x59a8bd8cedc03a9859b365608250568c20958548,,,,,,,,
,13244274,,0xc650465496c244ae173bb2a33fe189397377a63cfe973e037c890a71ec17886c-192,0xd133fd8e0607f5d82c91626140495ea0a31d0398,192,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x392bee54b66bd3d476575435ed36231444fff749,,,,,,,,
,13244287,,0xf34f5e400c10690fc0314a4fb0996617b8f605eec6a5cdcf490af677d6d86524-125,0xd133fd8e0607f5d82c91626140495ea0a31d0398,125,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x47195d4d9544351a402295224f66a139aff34cfe,,,,,,,,
,13244295,,0x663f178d62db552ae75c2e1324ce76a8e9914d46146f5c76447cb08e43ac6b3e-182,0xd133fd8e0607f5d82c91626140495ea0a31d0398,182,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x8eb8f9db64a7e4e066d1d2fa09c6b05066933f4a,,,,,,,,
,13244305,,0x248e6405dc1a799c84653750c9ba616f6a1c3a42e5e9c2da0eaf17ccd89adff6-465,0xd133fd8e0607f5d82c91626140495ea0a31d0398,465,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x476c4c3f95e87d4b16454bfc2bdf96417afaa649,,,,,,,,
,13248622,,0xc0bb20584ad1cf7846034a57e07cce3da54d1d40bd6f05f97701518a3423f397-543,0xd133fd8e0607f5d82c91626140495ea0a31d0398,543,,10416000000000000000000,stakeDelegatedWithdrawns,,,,,,0x68df5db92785b9f1614d69c6364fc5adad8b8e40,,,,,,,,
,13248630,,0x7721b52d45fd126c48532d41e9efd7af1d767f91c5c2ebf0e5921407af3e3360-451,0xd133fd8e0607f5d82c91626140495ea0a31d0398,451,,12500000000000000000000,stakeDelegatedWithdrawns,,,,,,0x672fa9e0b8c1547880d4d427aa83270ebf8d22cd,,,,,,,,
,13248786,,0xc05e2c26cadc7812459769265d7dfaad608eadb9befde856b889b4373e6a3ac2-671,0xd133fd8e0607f5d82c91626140495ea0a31d0398,671,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x7fa2035ec8d61b85e4dd5017724368230606f435,,,,,,,,
,13248848,,0xf43ccc3d24f61efd5f2298572197740c5b72cc76a454a16f699a16e7ab6986a7-471,0xd133fd8e0607f5d82c91626140495ea0a31d0398,471,,8333000000000000000000,stakeDelegatedWithdrawns,,,,,,0x0d5ae787018108707e382bd972d6b9aa3b5ba994,,,,,,,,
