allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,12058286,,0xf857d422bc1d9f0480fc35205137332306bce12d8c10e8eefbfd6ee5c720a33f-93,0xd133fd8e0607f5d82c91626140495ea0a31d0398,93,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,
,12058286,,0xf857d422bc1d9f0480fc35205137332306bce12d8c10e8eefbfd6ee5c720a33f-94,0xd133fd8e0607f5d82c91626140495ea0a31d0398,94,,1637867000000000000000000,stakeDepositeds,,,,,,,,,,,,,,
0xd33f7246a3d54fe6be0d33cfab6cb7397f2a5f97,12058354,92.0,0xcec5141043f6968a3b951dd4d7e749762ee7afd2f1b28a4a874f58e7e6cca5b5-206,0xd133fd8e0607f5d82c91626140495ea0a31d0398,206,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,10000000000000000,allocationCreateds,,,,,,,,,,,,,,
0x86af0352f4db0158194a29caf13482503baed719,12061508,92.0,0x147d2c36ff2b812d65ed180e97269d55d3036236d8e45b126d0e9730d515915f-151,0xd133fd8e0607f5d82c91626140495ea0a31d0398,151,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,1637866000000000000000000,allocationCreateds,,,,,,,,,,,,,,
,12151272,106.0,0xee85bdab9f623166d2249831870b12488314a3e2fea6858e0a04457f4183dd58-108,0xd133fd8e0607f5d82c91626140495ea0a31d0398,108,,,rewardsAssigneds,,,,,,,,,,,,,6685642545872035705186,
,12151272,,0xee85bdab9f623166d2249831870b12488314a3e2fea6858e0a04457f4183dd58-109,0xd133fd8e0607f5d82c91626140495ea0a31d0398,109,,6685642545872035705186,stakeDepositeds,,,,,,,,,,,,,,
0x86af0352f4db0158194a29caf13482503baed719,12151272,106.0,0xee85bdab9f623166d2249831870b12488314a3e2fea6858e0a04457f4183dd58-110,0xd133fd8e0607f5d82c91626140495ea0a31d0398,110,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,1637866000000000000000000,allocationCloseds,False,0xb36eeef8b550c30f243cfe9a9f2439079e4b0c2e,,,,,,,,,,,,
,12179499,110.0,0x0ee9ffd9ba6a018bc1e8660c7540a55c78239b64fa2b7d2407d4dad9238d8688-103,0xd133fd8e0607f5d82c91626140495ea0a31d0398,103,,,rewardsAssigneds,,,,,,,,,,,,,55335728180195,
,12179499,,0x0ee9ffd9ba6a018bc1e8660c7540a55c78239b64fa2b7d2407d4dad9238d8688-104,0xd133fd8e0607f5d82c91626140495ea0a31d0398,104,,55335728180195,stakeDepositeds,,,,,,,,,,,,,,
0xd33f7246a3d54fe6be0d33cfab6cb7397f2a5f97,12179499,110.0,0x0ee9ffd9ba6a018bc1e8660c7540a55c78239b64fa2b7d2407d4dad9238d8688-105,0xd133fd8e0607f5d82c91626140495ea0a31d0398,105,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,10000000000000000,allocationCloseds,False,0xb36eeef8b550c30f243cfe9a9f2439079e4b0c2e,,,,,,,,,,,,
