id,logIndex,blockNumber,indexer,indexingRewardCut,queryFeeCut,type
0x5b01f8d1984b908caad6623d54a6ecb7714805ff09962b1532fa7115cc82e501-245,245,11454163,0x06590a641dc3eb43f2cebe435576389f209116da,1000000,1000000,delegationParametersUpdateds
0x79a122b726be91a3fe0e639c3c07c7c9c26b5b3d466407e35262f52025baa536-317,317,11472096,0xf62de2a9d8b8033a5b66f497dca1bd91080316fb,1000000,1000000,delegationParametersUpdateds
0xebc79a739a943dc2d33c2cbda03e3c37d77b316fe1b0798df4a91478a783183c-115,115,11473163,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,1000000,1000000,delegationParametersUpdateds
0x1179b8c2124cb0c76063c5ddf17f5374111b8e37b258206a677f8f9435ea0298-237,237,11473318,0xf3f182e859f789af8d6c2223d15c691471c79a2b,1000000,1000000,delegationParametersUpdateds
0x8c575e8324266ac71850fdc6a7b8d708baf21e038e9a71321e2ae6e82a289cb5-212,212,11473435,0x163a2ebf98ef202da5834a33f7ce98098a0b7874,1000000,1000000,delegationParametersUpdateds
0xd823e5d9731c983f540ebc39c7f5a7aa470f5e3161f9297b580f0395d39beb26-194,194,11473455,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034,1000000,1000000,delegationParametersUpdateds
0x23eee77fb5fe070917c8bbb5db955c4f6844369aa2e28f29ef1964593425fc1a-48,48,11473474,0x7fd833cf8775e9c3524b8be925723345164964be,1000000,1000000,delegationParametersUpdateds
0xe7220914443295b82a2971bcec74b28f6b04fc6c8c0c1c15786c727314dcf1dd-100,100,11473558,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,1000000,1000000,delegationParametersUpdateds
0x724e599afb80dda89955aeae9f56e3a3542e6e798701e1823399f9051a977f9e-210,210,11473608,0xa959b5afe73c6faa803541b5c4edc0492dfda294,1000000,1000000,delegationParametersUpdateds
0x3fc45663eab398aa9ea251175269472843d8e2cd65a1a006682af2e49ff60a68-121,121,11473757,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,1000000,1000000,delegationParametersUpdateds
0x9505f2844affd08355c77b838f1c16b664807a53276882725468990d661e087e-118,118,11473769,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,1000000,1000000,delegationParametersUpdateds
0xf397b6b589ab4288b79b437f0bdf418bee25617f2a680e60a01bc9988ae4b999-149,149,11473814,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,1000000,1000000,delegationParametersUpdateds
0xc2291c99d8dcf15ec26785fb24b49cc4ab8b89bbfa4fd0b39bf3b8255866e961-146,146,11473927,0x4fedde33607cfda2c82a999accb427d1170987d9,1000000,1000000,delegationParametersUpdateds
0x1acdc1215e17731bd050b860539e20cf82a643206e7dd8158c79f31e415ad51a-175,175,11473941,0xbe9d7c691792937ca7e2535652886ff390cc5b86,1000000,1000000,delegationParametersUpdateds
0xcff88ca11f8a9cf00ddcc80a25b686b5fcbb714cf330720da8caf66b1abcf8b5-283,283,11474001,0x4d6a8776a164776c93618233a0003e8894e7e6c2,1000000,1000000,delegationParametersUpdateds
0xcb621a8a549e4e3c616a7a1e27dc92b28722c90ac37f60fe1f1d5e5ed1ff0ecf-121,121,11474009,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,1000000,1000000,delegationParametersUpdateds
0x8a0751565ba17175094b06a0996580eb4ae5c1c104371295e8c25fdb7ebd2def-80,80,11474084,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,1000000,1000000,delegationParametersUpdateds
0x40c449930f0fc6a63ebb216fa0d819ca3344f97c9986e34dc738486d8589c260-269,269,11474297,0x97a13b2969dc8268a24b7997ed64ab8339631cf4,950000,950000,delegationParametersUpdateds
0xaa33e6a8d0ab8b6539b5d7622d5fa46d7f43ea0e83c33bde2197a3162fc29248-199,199,11474338,0xf3f182e859f789af8d6c2223d15c691471c79a2b,90,90,delegationParametersUpdateds
0xb6b6a197a38a41705167cf28f609e7f6a3aa21a02ebeaf16b91833a0ae786e26-93,93,11474339,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,90000,90000,delegationParametersUpdateds
0x1457f871060b5aaac298b80ca3bac02d65f3987f32a3a8733f6385ff81baf60c-179,179,11474344,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,900000,900000,delegationParametersUpdateds
0x6189245976d4ba5e3ff64283a5e85a16f3fc123ec6f31f819b4164645e0c5f03-177,177,11474357,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,90000,80000,delegationParametersUpdateds
0x504fd27f562eaad83410ebb922c2ecd779809259ede576d743264889aa103f74-232,232,11474368,0xf3f182e859f789af8d6c2223d15c691471c79a2b,900000,900000,delegationParametersUpdateds
0xef013ef50091b498ff1c111a108d46bf24bc9d7454e1023377af0e12327298ed-201,201,11474372,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,800000,900000,delegationParametersUpdateds
0x19cf8bd30df43cc8518c16bfce7297c32495bbc3c4c1da83ef91f75cb678b8a0-162,162,11474426,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,90000,80000,delegationParametersUpdateds
0x838f31f793f37fcd2dfe3ffb9d798e6c438c38b0db71bdd36f67431b412a96c9-164,164,11474455,0xf3f182e859f789af8d6c2223d15c691471c79a2b,150000,150000,delegationParametersUpdateds
0xb487626785c08611553f282a6bff566a5a42882f144bfdbe082b80d01628a91b-262,262,11474460,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,900000,800000,delegationParametersUpdateds
0x2fe9986fb33a19533e14dc68a42672fb1723fe137c8e6e520f8e4c150e196421-272,272,11474474,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,80000,100000,delegationParametersUpdateds
0x78e9e8c68456e77a30e592b29b0fc6b061c479bde485a027c759e40c590bb25a-90,90,11474528,0xf3f182e859f789af8d6c2223d15c691471c79a2b,880000,880000,delegationParametersUpdateds
0x9945c9eecc11e88c68e5c1f72c1a7b298c6d826ca90009678232c501b319b5d9-33,33,11474578,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,900000,800000,delegationParametersUpdateds
0x01598c52c27c9f95d78673be569412ed84fcaaf7edaf6458a4791c189ab3b1c6-324,324,11474582,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,800000,800000,delegationParametersUpdateds
0xc54754b3a632e66c05b84a5a41b567948ce9f8960f5e65f2473f51be64e68120-189,189,11474605,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa,1000000,1000000,delegationParametersUpdateds
0x31dbb2968fd0257b8c54bfbe8f94b83f5a19b973954732264235c2f39170d249-125,125,11474679,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,900000,900000,delegationParametersUpdateds
0xe4f98fc4a0330a827e6ec8551a943541ec684221fd02b2edaf7f786a74c5e2eb-114,114,11474679,0x4fedde33607cfda2c82a999accb427d1170987d9,95,95,delegationParametersUpdateds
0x4e496dfc78683f117c71136806e6fc2179dad293525ceed68d2f7de61f721e5c-206,206,11474687,0x45874192929530cd4e3dd0624df05bee3c13974f,1000000,1000000,delegationParametersUpdateds
0x901176307e17697576201648a0446dc78bf6b1c2d2de284c89fcb7d0b01fd89b-58,58,11474698,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,800000,900000,delegationParametersUpdateds
0x85db41cf97bc6f897b389661c74e3a0185d05e8790ef6a8e8acfea51d903b3fc-225,225,11474702,0x45874192929530cd4e3dd0624df05bee3c13974f,10,10,delegationParametersUpdateds
