id,blockNumber,logIndex,indexer,delegator,tokens,type
0x7543d5944b9da17c7eff5df35c13bc4c7b9f9e3e140a84472ee76a75b2109d31-184,11659454,184,0x45874192929530cd4e3dd0624df05bee3c13974f,0xf5376e847efa1ea889bfcb03706f414dade0e82c,12935000000000000000000,stakeDelegatedWithdrawns
0xeb61d501f54d4bad4ea105d09de363ab8c6ff06830d70a7239ec8c88735ef5b5-131,11659457,131,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0xf5376e847efa1ea889bfcb03706f414dade0e82c,12488567623993900000000,stakeDelegatedWithdrawns
0x536594f889395a7ea8ea8d7d173ef48f5e78acf31a4f48c3c01e96e832f79fc9-135,11659462,135,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x1853bf6a892abd949aed052bb634ab96afaf31dd,14169714085664846000000,stakeDelegatedWithdrawns
0xc72f8450526b3fe76d3df51bcdaa206cd39d7b061df871cac68a05d29be6da69-147,11659539,147,0x45874192929530cd4e3dd0624df05bee3c13974f,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,9950000000000000000000,stakeDelegatedWithdrawns
0x73d3f8d4c819acea3ba01d1c9d2559202f1ccc30682cd5a3048965a664733af2-73,11659578,73,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,0x219688c6156edea2e2ca7e2036c1c5b7f6451169,101129325058601450000000,stakeDelegatedWithdrawns
0x832595066ea463a1ecc46d05f6d6e32e75ef0e950e8815dcaffc2e10e4ec454d-48,11660534,48,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,251819644650000000000000,stakeDelegatedWithdrawns
0x491c394eb8522ade3ed63cf112fa75040bad5801d642669a54d5e0a4dc35db68-75,11661884,75,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x81b4687d4193916aa6cf65360bf96b1e4279278a,6505310000000000000000,stakeDelegatedWithdrawns
0xd84038f1f19167aba105c54ef1e22af798e9642fce1f37ecef99044c7f41cba5-168,11663435,168,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x57b4a5f470c85d4281f7baf5162b59243a3491df,65257075000000000000000,stakeDelegatedWithdrawns
0xf67d52759abda93cba0bce1ae30bc749c24732cb32c7fe22c6e34aac86dfbad8-93,11664084,93,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0xe88f42474046183f2367066cd940e74ded8085fe,2000000000000000000000,stakeDelegatedWithdrawns
0xe4098a7b64dbd32c5118817658ef1f31e954c2f757c6c944391d84255af18ace-282,11664683,282,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,0xaca25dd25fdfdd7e3f85ddb8d4f36d690b1ba637,165851137200000000000000,stakeDelegatedWithdrawns
