id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0xfb3a6dd7449f3a89bc020896cdf6f1281cf98387486fdcecbac63a6622bc60ab-253,11477232,253,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,4.0,4807692000000000000000000,0xb9ea968ea1cdf85bf2390e7703270e1f75168058,allocationCreateds,,,,,,,,,,,,,,,
0x24da63bdf5f0ab8e715a29cb670ed4521a14427e41c46eff615d9268d85387c1-118,11477243,118,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,4.0,4807692000000000000000000,0xaceef199756a63f97b0f31bfebb7065b17796971,allocationCreateds,,,,,,,,,,,,,,,
0x2c6abea652a0c1678bc00b49ff9bb665df6c3d6c6cd0635a53bd6f0092617567-215,11480784,215,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,5.0,3920061000000000000000000,0x3303011d4f7d210e94ccb75530b773be55295b26,allocationCreateds,,,,,,,,,,,,,,,
0x8528c4b3a2db3801e4866661306b5370f9f03045ddcf8318e3e8e7f93d1beb62-194,11481994,194,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,5.0,3920061000000000000000000,0x344ca9d6259079af198866f57f964f02d9b24b7e,allocationCreateds,,,,,,,,,,,,,,,
0xaa655dc2c8f8ecaa29cdc7d43609d030abbf8abcdfdf39eb609665c76f09c1e9-254,11482008,254,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,5.0,3920061000000000000000000,0xdd05d8475fe6dd25818f120a462b91117fb496ec,allocationCreateds,,,,,,,,,,,,,,,
0x8a2ce9d4f8a23783b34204e52a07eaa1e8e18d8888730b331aad8808722ebe2d-257,11482082,257,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,5.0,3920061000000000000000000,0xa14edb298bdba89ba82ab8b24400f5eed78ea073,allocationCreateds,,,,,,,,,,,,,,,
0x2c77255bdc2fa41d0e7a4c5d1291bff45f8c262c84163f5a7de338e0b26003e4-201,11486718,201,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,6.0,9712986000000000000000000,0x39376a04c6dd34c0e8f819b04de61e12fa8516ad,allocationCreateds,,,,,,,,,,,,,,,
0x99963e4808e28061f9c771543950da970e6ef590ddb0f0958454288445ac44d3-221,11486719,221,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,6.0,9712986000000000000000000,0x952c46bdd67f724dcd16e3c0305b68cb23cb9d30,allocationCreateds,,,,,,,,,,,,,,,
0x5154ba118d0ad706f723e31c098f3e562e0ca12042c3c37669a7d4aef0b23d05-231,11495370,231,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,7.0,21032766000000000000000000,0x7db76dcf1dd154625260b2e8497350700035b660,allocationCreateds,,,,,,,,,,,,,,,
0x41e7ce0e6d3e97d0f825a7a96835d83d75265b44c95212e768980d69e27930f9-233,11506298,233,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,8.0,21346900000000000000000000,0xf295932a957bb287e3cb6bd197d413143f26edde,allocationCreateds,,,,,,,,,,,,,,,
