id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0x02a532c1aac5cfe709b19c334e742c7c721e5aa349c54b457227061469521fcf-114,11481871,114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,5.0,,,rewardsAssigneds,,,,,,,,,,,,,79000322109085104702444,,
0xa173a378a92e3ffde4717edd8db1bbbfa76f829c6b8c0f58e27ea1b6f334f2a9-157,11481872,157,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,5.0,,,rewardsAssigneds,,,,,,,,,,,,,78681945634908142661532,,
0x9977d6283c7347bf3a256a3792c686d57f911dc4bf8c49a8635cb5c297f216ed-170,11486647,170,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,6.0,,,rewardsAssigneds,,,,,,,,,,,,,37810500232191486929607,,
0x08536cb187c1bcf729294738d014bfc484133292dc87161227030a9eae809667-114,11486668,114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,6.0,,,rewardsAssigneds,,,,,,,,,,,,,26381732043325393053999,,
0x0e84eefd549706cfb2d9eb870fd4f9094f6257cc04becb7bcf8b06cd17243071-252,11486669,252,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,6.0,,,rewardsAssigneds,,,,,,,,,,,,,25494839303727812415387,,
0x42fc0ca5b82b9a2773762f2b01444cc033bb3d87ae58c9c2e08d90a5eb1873d7-220,11486671,220,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,6.0,,,rewardsAssigneds,,,,,,,,,,,,,26234529693224212529763,,
0x79464cb7f8b31797b4da00edbe3551ec7f4124c2f1fadf62334346e32235c729-35,11495247,35,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,7.0,,,rewardsAssigneds,,,,,,,,,,,,,49891902745402016057010,,
0x2f570e3222c1021d30dd2c56c95ccf185a8e38e99ea767d4f722db70ad95c370-85,11495250,85,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,7.0,,,rewardsAssigneds,,,,,,,,,,,,,49891817848670854079448,,
0x90241c1143db84acb5df5ba251188671ecfff4e230d3be1b6222bcbb06ae10b3-218,11506281,218,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,8.0,,,rewardsAssigneds,,,,,,,,,,,,,66214393501266041029992,,
0x4db0bf39364b097ede33a00b7f1b4ea4caa8c69974e05a7a9bd151efc457cddb-73,11513691,73,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,10.0,,,rewardsAssigneds,,,,,,,,,,,,,31254043729741473371800,,
