allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount
,11474307,,0x938641c2dbfd4562c7ab8c60ca98f11394d161ead6b93008a91d97f068c6dcac-17,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,17,,165851137200000000000000,stakeDelegateds,,,,,,0x9fe0a203e190d87cef6b4b80b24fae73f243b3ea,165851137200000000000000,,,,,,
,11474332,,0x67278b0af539dff48945b3a430ada90de00526aed433a321215f3d1e36bcc97e-38,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,38,,251819644650000000000000,stakeDelegateds,,,,,,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,251819644650000000000000,,,,,,
,11474496,,0x1959bd2f0db2f95a3608e12c87c16122d2a822a1ddd309c2779bc90a321be401-84,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,84,,6965000000000000000000,stakeDelegateds,,,,,,0x53c0fa070e310ce1690b3c83b2ab7f20d74d4922,6965000000000000000000,,,,,,
,11474499,,0x9e1054a42c5a3159474cccc230a2d3838d535165657739089159fc5a29271ebb-190,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,190,,9950000000000000000000,stakeDelegateds,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,9950000000000000000000,,,,,,
,11474504,,0x1d7bf818ed90521f8c3617ba98a631a05d60f5f95d805ed88f39f9b64e56accc-181,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,181,,1991758662500000000000,stakeDelegateds,,,,,,0x32345932bc863f54ef87e2ece3d458f1789b1bfc,1991758662500000000000,,,,,,
,11474568,,0xaa968b7c22677764fbd8a8fd538d99e34829857329139876725ca7f589c57339-285,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,285,,503905083650000000000,stakeDelegateds,,,,,,0xb300749c08cab1c9ce67f66a18ea5926360ba36a,503905083650000000000,,,,,,
,11474607,,0x5bbc9115362bb523298d2378cf8e5238c947f314915d215f3c28717b48a5bb02-5,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,5,,65257075000000000000000,stakeDelegateds,,,,,,0x57b4a5f470c85d4281f7baf5162b59243a3491df,65257075000000000000000,,,,,,
,11474769,,0x07f058e4212ea4115857cd68ed38d6eba0a8fc84977c628be74c91370437ea4f-65,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,65,,39800000000000000000000,stakeDelegateds,,,,,,0xb7797cb7b4a031c4c1e04ea14824fa5d8d30beed,39800000000000000000000,,,,,,
,11474834,,0xd8ed1d9dca49483691be9f5666083e2653871c3517ce7c97cf0136376e19cb3e-216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,216,,12488567623993900000000,stakeDelegateds,,,,,,0xf5376e847efa1ea889bfcb03706f414dade0e82c,12488567623993900000000,,,,,,
,11474849,,0x514c2481697fa4cdb572708727c3ba0519912390247eeb4b703ca83387049948-19,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,19,,14169714085664846265000,stakeDelegateds,,,,,,0x1853bf6a892abd949aed052bb634ab96afaf31dd,14169714085664846265000,,,,,,
,11475170,,0x19933330347d5297d8b1c140ce8abf8f7b79c84752c60220adfae6f203546338-96,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,96,,765384845000000000000000,stakeDelegateds,,,,,,0x1beda87a78e838687668ce2c564f1746dce7396e,765384845000000000000000,,,,,,
,11475238,,0x11d12e4e40232247ba695bb303b0ea709873707de2cb1e4e27128b0eed7c7748-48,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,48,,4002893379514657642500,stakeDelegateds,,,,,,0x7eb692f22af33d637aab31f9277653235682ebe6,4002893379514657642500,,,,,,
,11475531,,0xe1c4709dd20102a80e0a308ab0394e80c909a63807c366be7bd509dc4ca724d4-172,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,172,,9950000000000000000000,stakeDelegateds,,,,,,0xb4ecbb9d116a2b38cee4ede75b0a96746a175efb,9950000000000000000000,,,,,,
,11475758,,0x9d8240246c88c9d4b3227b1c0dea892178e6f4588cf11faa9763bc65ebf1ef44-23,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,23,,646750000000000000000,stakeDelegateds,,,,,,0x4e43a0cd79a9324645167e70aa6cdbdfa91a43e9,646750000000000000000,,,,,,
,11475825,,0x42b390e8b780e2a0c1bfc28867e197f22546a2aae493bc2469f7254450dd6ef7-290,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,290,,907701685000000000000000,stakeDelegateds,,,,,,0xe6368e677871b288294536c8fe6cb1bbeb19f7a2,907701685000000000000000,,,,,,
,11476053,,0x88b8ca621050b16363ba338c1901b62f3b5eecbb63064993b2be7524d1d8bd0e-17,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,17,,10185289624385739620000,stakeDelegateds,,,,,,0x60696f9d6ab5d99560bd04a98c718731735edd5c,10185289624385739620000,,,,,,
,11476058,,0xbe0121652f5311fdaea17fb2d96668617a5151471de1e1f584f941ef5f7289ea-256,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,256,,2296153540000000000000000,stakeDelegateds,,,,,,0xa8df6bbc65cf526fbc6392524d113cf5b7c8a93e,2296153540000000000000000,,,,,,
,11476150,,0x458b0a96ee7124406ed800d8159a6f5804c2a30017b48a3ef74bd3b733fba4ac-161,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,161,,111440000000000000000000,stakeDelegateds,,,,,,0x539c82d5cb886c94dd3e2d76dd5c73936c1cf391,111440000000000000000000,,,,,,
,11476650,,0xe650675328ce4b69e45ac0029d1d80cd7ae81afc71871f3bf0bf439e00e26e1e-284,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,284,,74625000000000000000,stakeDelegateds,,,,,,0xb6ad6f1e372ce48beeecce0580fc03a76eea5249,74625000000000000000,,,,,,
,11476691,,0xb27da2040a1ef0857b8be303f71436bcb6b66ef9a567fd010af3cc59f85f4fbf-12,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,12,,28340571645879871300000,stakeDelegateds,,,,,,0xfbfd491bc1e89782fb01219c5fd8462c039d0d7e,28340571645879871300000,,,,,,
,11476789,,0x431300ec6fa7c6936a1656f85bf75db40f97f64ddae41ab27be18ed445971820-219,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,219,,24875000000000000000,stakeDelegateds,,,,,,0xb6ad6f1e372ce48beeecce0580fc03a76eea5249,24875000000000000000,,,,,,
,11476833,,0x2cce144bc10722bcf377412a7047bd4df29831251b56a366fce3a268e83bdd33-76,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,76,,9950000000000000000000,stakeDelegateds,,,,,,0x46917890a173a6c119f172aac9bf65a2e9a2e6a7,9950000000000000000000,,,,,,
,11476942,,0xe15095e62324c9dee083975243bf571c74782e10add3a18abb8e93d91d9efed5-282,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,282,,11552945000000000000000,stakeDelegateds,,,,,,0xb73f819a15b979c5b4af2dcf1b2817bd073eda64,11552945000000000000000,,,,,,
,11477175,,0x737c1840e02d11135232bf7c11eabf71ef7e0204b0154334508d5b08b887f89f-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260,,132706115100000000000000,stakeDelegateds,,,,,,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,132706115100000000000000,,,,,,
,11477210,,0x837f3e5001ae75b02401f225d848d9c8c84cfd96da9752ff62cc9f18733e22ab-94,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,94,,2487500000000000000000,stakeDelegateds,,,,,,0x5f3cb118b93237b2b0ec7205ec43807e5d4d63e6,2487500000000000000000,,,,,,
