allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount
,11659457,,0xeb61d501f54d4bad4ea105d09de363ab8c6ff06830d70a7239ec8c88735ef5b5-131,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,131,,12488567623993900000000,stakeDelegatedWithdrawns,,,,,,0xf5376e847efa1ea889bfcb03706f414dade0e82c,,,,,,,
,11659462,,0x536594f889395a7ea8ea8d7d173ef48f5e78acf31a4f48c3c01e96e832f79fc9-135,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,135,,14169714085664846000000,stakeDelegatedWithdrawns,,,,,,0x1853bf6a892abd949aed052bb634ab96afaf31dd,,,,,,,
,11660534,,0x832595066ea463a1ecc46d05f6d6e32e75ef0e950e8815dcaffc2e10e4ec454d-48,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,48,,251819644650000000000000,stakeDelegatedWithdrawns,,,,,,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,,,,,,,
,11661884,,0x491c394eb8522ade3ed63cf112fa75040bad5801d642669a54d5e0a4dc35db68-75,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,75,,6505310000000000000000,stakeDelegatedWithdrawns,,,,,,0x81b4687d4193916aa6cf65360bf96b1e4279278a,,,,,,,
,11663435,,0xd84038f1f19167aba105c54ef1e22af798e9642fce1f37ecef99044c7f41cba5-168,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,168,,65257075000000000000000,stakeDelegatedWithdrawns,,,,,,0x57b4a5f470c85d4281f7baf5162b59243a3491df,,,,,,,
,11666142,,0x109deff91d5c101534bf05d0ebc0026b49b2253cee2c070aa6d206e706596767-246,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,246,,63951707761229540017576,stakeDelegatedWithdrawns,,,,,,0xe4369be6df50aa406db8212ae00cf81917c848ea,,,,,,,
,11666298,,0x1ff45d0e4584ec90aba75a2ae394831392b65cb20af449887ad4732c12bc0d47-176,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,176,,18167407271115301580346,stakeDelegatedWithdrawns,,,,,,0xfe7c442da0297313444b919ba17ca666d631d121,,,,,,,
,11670942,,0xdf961bea774999308ea1a3887c2e22be63071a2570b739b78778809d4ae9a840-215,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,215,,132706115100000000000000,stakeDelegatedWithdrawns,,,,,,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,,,,,,,
,11671162,,0x547dbcde3b88d10a386941546ff907d6b72aa38f24d1b5374189a5e415948eb1-267,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,267,,10185289624385739620000,stakeDelegatedWithdrawns,,,,,,0x60696f9d6ab5d99560bd04a98c718731735edd5c,,,,,,,
,11671211,,0xa0387d1a781ca5395c8ca59185fe56a1efccbe325acf85962783c94b3cf9fd74-205,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,205,,650029186268782600178,stakeDelegatedWithdrawns,,,,,,0x4e43a0cd79a9324645167e70aa6cdbdfa91a43e9,,,,,,,
,11672792,,0x5f4b82f4360b7154d0a6760393d3503fdbf1f61533a37746f378978ae5568bf4-303,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,303,,19395188250346788624364,stakeDelegatedWithdrawns,,,,,,0x1eda5b5fc4b6fce3dc442381a46088850f206eca,,,,,,,
,11673195,,0x69dd3461ae76ae75e508d88aca89b8bcf17b6844c43e91ba7c1e454f7644094b-150,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,150,,1297479999999999999999,stakeDelegatedWithdrawns,,,,,,0x625114d3fc10a15a5465d3137aba4771464aae3d,,,,,,,
,11673266,,0x613c56359bf1ea5794a857519a8c841d3e5d30abf48bfb20e0cc7c114779e453-65,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,65,,99629349999999999999,stakeDelegatedWithdrawns,,,,,,0x85194ffba51d0a3d9b7abcae802868f1e03f021c,,,,,,,
,11673383,,0x7958ef6ff4c68ba47d297f17c9b69e9747e1072a5e602c04dfdf59de0821894f-164,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,164,,9974110727854269597930,stakeDelegatedWithdrawns,,,,,,0x9a5aaf145d11dd36747ca3c14422d9714a3de366,,,,,,,
,11674212,,0x977c30550248f9cb886fc307ce8968ba5b3f1bb82b0ec367870ec42c78547abc-44,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,44,,895500000000000000000,stakeDelegatedWithdrawns,,,,,,0xcff76a3c6904456e71c40398b09bc70d3926fa6b,,,,,,,
,11675081,,0x89c8a8532b5372b748f0713a9af32ce8e17b81c5bbdd08d3e67548f85ccaea42-68,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,68,,50123409974347475786943,stakeDelegatedWithdrawns,,,,,,0x5886cf93fa5d2c126f2f60a485cec5392cea8fa5,,,,,,,
,11677857,,0xad786551c1191e61523c7e8df4164c9094a9d887ecd4c27a8fb610f810315ad9-107,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,107,,5678683487303849999999,stakeDelegatedWithdrawns,,,,,,0x9377a5ff1da6a53d39df0d4ba25b3c39c163d399,,,,,,,
,11677983,,0xab8030924c47adbd7a5c0543f4792c846a334c8191e7d4b4df047fff60c8794c-220,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,220,,5679806919758074000000,stakeDelegatedWithdrawns,,,,,,0xe3a38bb185eebca16ac86139b4b8200c293a2dad,,,,,,,
,11679416,,0x86c4b13005cf14207863102ad7cf4af3eedd54efd6b49a5040b27afb3a7c8dfc-257,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,257,,104374275591251666379958,stakeDelegatedWithdrawns,,,,,,0x46ba0af6bc60e6fabd9957744c057d031c720ace,,,,,,,
,11679458,,0xe1d725c5e2f5ed46aa79a4a8b3569212cb7e5032259b3a807ca0180b556d0c96-127,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,127,,1867890678491147606999,stakeDelegatedWithdrawns,,,,,,0xfe70e4fdd19489d1384e50cc2dbfe993f7b94589,,,,,,,
,11680864,,0xd30ceb31e0d12d5939358518041a265cf93b8139679952ba8d6f7c2f8afa0f28-199,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,199,,121324157118749999999,stakeDelegatedWithdrawns,,,,,,0x2686544ed0149b134b27009958788cdf4ca8c064,,,,,,,
,11681459,,0x5f310d1e32dd125b80691dd09bd24f9f5deb731934c1e71a00435e766f064b3e-156,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,156,,1490509999999999999999,stakeDelegatedWithdrawns,,,,,,0x82a6f1ebad545284c45c4b0d081cdec25b6471c7,,,,,,,
,11684936,,0x24c86f83b23bf5d0c6c7a1ef0fbc453fad89e171bfc78215d30f5bfdc3f1f79d-144,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,144,,10023931422056736412088,stakeDelegatedWithdrawns,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,,,,,,,
,11686029,,0xa66a59626cdfdbe73b3193b92e1a2b288cae5a3d9067b1c9d86f19c309a10ea2-172,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,172,,502126978563295333822,stakeDelegatedWithdrawns,,,,,,0xe0ddee528856195af906eb5c7645ddcb6dbbe1c0,,,,,,,
,11686066,,0x6816d506b9bc668eb5b6b02ce25f0239fd9c255a705280fac7162411c63ba615-79,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,79,,199837564371473681818502,stakeDelegatedWithdrawns,,,,,,0x2c85e202474086fe7deea3c0e2f58f3bddad01a0,,,,,,,
,11686454,,0xe4da6805b8f4c06f2686e486d50a33cc190d40bde991fff433ad7b71a0b2dc07-122,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,122,,11660392696196844242036,stakeDelegatedWithdrawns,,,,,,0x65edea46429767082b796aa93f3bcfb674be43c6,,,,,,,
,11687443,,0x92ad5190df5542158da07b3e3e5081c4a0791396e30d7325c4a1ed8fba410251-256,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,256,,100246819948694951573887,stakeDelegatedWithdrawns,,,,,,0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b,,,,,,,
,11688349,,0x5cdb59e208fc8f3e5e35fb02243073695d2c60689bdb440207862db406fcee9f-215,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,215,,299031736224356734079,stakeDelegatedWithdrawns,,,,,,0x115b72c42fa4d48777a26f612a26bdecf3d40b2d,,,,,,,
,11688834,,0x4cd700abf3bd434326544b25b522d65faf914a2ab2aeb5cb58c35f0609c7a6f8-200,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,200,,852799711721728749843,stakeDelegatedWithdrawns,,,,,,0xcb93fb7ec03959c54b39c2467ab10cea8ab029da,,,,,,,
,11692992,,0x1888947553e92892448b0949d5dd32c642607b5b762dba0aa27f326f5b27167d-114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,114,,11869669852833533468258,stakeDelegatedWithdrawns,,,,,,0x10ccd4136471c7c266a9fc4569622989fb4cab99,,,,,,,
,11693491,,0x3f58779dd42d3d878dfc33840e579017afc55a5b27d7f27dc82088d4960fb277-475,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,475,,546538967408010635263,stakeDelegatedWithdrawns,,,,,,0xccb586177f8e2461a81cacdb8b793b2e265df169,,,,,,,
,11694129,,0xa9571a8888cf44bf1cbae168637fa367a0dc3966d386fa74f976c2089d4936c7-287,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,287,,986804729540377222464,stakeDelegatedWithdrawns,,,,,,0xf2413c436fd37e4a42850cfa24e34a30829b7aec,,,,,,,
,11694307,,0xf1f88103a2aa177d07fe8c3c4c17c7ef2df43b47dd19472ad5b14a4ae7dd0604-179,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,179,,297830734345779238180,stakeDelegatedWithdrawns,,,,,,0x9e3ad1c689a44a1d30cc99391cf1f6856cb08579,,,,,,,
,11694340,,0x8b3955d1accb9397be2af92e8039a84a1e0e6ad0cba6771359d937fe05dde44d-108,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,108,,1203238315166314473488,stakeDelegatedWithdrawns,,,,,,0x607534a61f589edf2cc79da4105ed5c98db7b101,,,,,,,
,11694943,,0x40ca7624b058a637319d696fd96063b630a2e53af066464a8334853e189e7d63-319,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,319,,893297034708251530430663,stakeDelegatedWithdrawns,,,,,,0xc9ede68e6176727a7d878163c8adf2d528e45ac4,,,,,,,
,11700607,,0x2a9c0e8a3dd5406bed50fabe1fdda30a4cba267c5ee74bf086bb57d88687118a-72,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,72,,1500000000000000000005,stakeDelegatedWithdrawns,,,,,,0x9099c478120c663aaf87b863ddc26d54cf114aea,,,,,,,
,11700938,,0xc8175a0f0a6c808aee02490e91d8939c437fe23e8976cc45883842d3d162924e-267,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,267,,29975634655721052272775,stakeDelegatedWithdrawns,,,,,,0x1d9037614ee870efb809fa45e3e705a6f3fdeb1f,,,,,,,
,11701156,,0x5412bd8cc25083329aa90f5f7b3b3be870eebf8df128f13dfc1d36c741483d2d-142,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,142,,1065269258792468543867,stakeDelegatedWithdrawns,,,,,,0x778ff9df1000eec3eca084cd1f2efad845b72d19,,,,,,,
,11706016,,0xdfa881620bb851baaa98ddb865aeef96f3b5576fdb01c25a6f07889ae27b8236-292,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,292,,11909054225043387573501,stakeDelegatedWithdrawns,,,,,,0xf748879edbe8cca140940788163d7be4d2a2e46a,,,,,,,
,11707197,,0xc9f067d6d34fd719aea2a7f4bd9409aaaa92273481efc2ff1f1928e11d30829a-153,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,153,,21109374699738754332711,stakeDelegatedWithdrawns,,,,,,0xeef37184494c81790c341fe6cd4cdc47503f12e7,,,,,,,
,11707809,,0xfcb04b5c5a17869cb475b0113bddff1a6abe2df4fd9d3609f0794c07250337e5-215,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,215,,182122861265380675570054,stakeDelegatedWithdrawns,,,,,,0xf6f78960e9a132868f3fbf1458960dc2325097e3,,,,,,,
,11709292,,0x229d27ccf49cd8f3a331af01f4a27d9c9e0a7daa86cf93c3868ec383a742b3a2-166,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,166,,13343295313930971849549,stakeDelegatedWithdrawns,,,,,,0x65dd7b52d51118cc081d3d797c1bfdcceec5f7d9,,,,,,,
,11710329,,0xf133e099f848bac8f190a88a98be27d119c0eceb5f3cd9b57665f43f4c672b7a-61,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,61,,2173829056163714306340,stakeDelegatedWithdrawns,,,,,,0x8e3d19bc54340d6dbc9e1beb9652e4c3290e0e3a,,,,,,,
,11713987,,0x92d1fe93972a6543f708b93974d98c7d534bb120afadc7a26f118a599f5db386-303,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,303,,366100608127846489853,stakeDelegatedWithdrawns,,,,,,0xf5adc2c1e3f5fabe72e57a86449da151cf3a47b0,,,,,,,
,11719277,,0x9e6e5e22512735ce9257f7ffc3eb9d132c75419ca3a9e257cb454d1947192a16-311,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,311,,384234788735957852145570,stakeDelegatedWithdrawns,,,,,,0xf481ef84e246203672c8d6467561d1105ede3a40,,,,,,,
,11719296,,0x7b76362434afe85ed0bebf3930a8e349865de6251aceb5f8286794499caba1b4-275,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,275,,10057709014501277193769,stakeDelegatedWithdrawns,,,,,,0xb4ecbb9d116a2b38cee4ede75b0a96746a175efb,,,,,,,
,11719350,,0xf78a83e0243e6c8c3cb622e06d0b4c1701da049fd6af43fffb71d1d34266ecee-137,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,137,,500000000000000000023,stakeDelegatedWithdrawns,,,,,,0x3238934316238ebbda1ffb229ec9a37bf66c5564,,,,,,,
,11720964,,0x53e729cbe7fc71473638729cd9d4bbe3ed585939e21418873b479cae1849a64e-165,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,165,,225864999999999999999,stakeDelegatedWithdrawns,,,,,,0xf2dc980def82ca5f5cd45d82a6f48339540be4c9,,,,,,,
,11723249,,0x42d66d4535c2736c8d582be723133b79012cde8cdbb854fef5ba80b06f4fc2e9-138,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,138,,716763317439437049710,stakeDelegatedWithdrawns,,,,,,0x4065149108a615930114bb511818fc0909aa9269,,,,,,,
,11725317,,0xaeb86c4cbe1ac25483dd0b7fd2d4016ecc3458945eeda23dd82586ecfb7acc58-133,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,133,,3440779893013666647232,stakeDelegatedWithdrawns,,,,,,0xba436985f87f4af3dd0363a8b6f2a28747d95f1e,,,,,,,
,11726176,,0xc5fc09c56c25fb6c261484984ece288a2357f055f86a18f20dde8e2dde0199e0-238,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,238,,10015184863577705540897,stakeDelegatedWithdrawns,,,,,,0x29717eb79b59f9610c036ea50741153a8826d5ff,,,,,,,
,11727164,,0xadbe442fec2e6dd24daa14028f0f298150687953432be7640a82483380583be7-14,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,14,,20030369727155411081796,stakeDelegatedWithdrawns,,,,,,0xef984be913c22645bdd7dc1388b3d2b9c5744092,,,,,,,
,11728267,,0xa1d81a4d242dff4b848b53660747bf76f5700db81cc1f3e3996202787a9def47-302,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,302,,8025819531017642270899,stakeDelegatedWithdrawns,,,,,,0x557947f2d6d592f7861e916c12bd3058ace9cb81,,,,,,,
