id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0xcf3be3148fb159f1db13121041d0fd614e3e16e6b4dc6b6662ebf5a8e0f6ae74-167,11494547,167,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,7.0,100000000000000000000000,0x453c54173029bc14f2bfbd7e80677b7de23e518e,allocationCreateds,,,,,,,,,,,,,,,
0xa297119ef02909e1b1e68d4daac1eef6d17d68424f5196c051cd053489aaee87-194,11495797,194,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,7.0,500000000000000000000000,0xcf3ecb0305699b1f5c986657c2fc8284df64d2bf,allocationCreateds,,,,,,,,,,,,,,,
0x75806d9b2b31469ad13777e3d20be279b2462319358d6965ae134e428e3ec078-265,11500130,265,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,8.0,1100000000000000000000000,0xb47e477cd1ee8a16253a35f37aff887ecec10b26,allocationCreateds,,,,,,,,,,,,,,,
0xbf24fd4c286c9f01f408571159cb21efd5690fcf614de5bd312da1fcbc655556-103,11506725,103,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,9.0,1100000000000000000000000,0xfbfeea6bb4f5c8567506797a09920a8f64666379,allocationCreateds,,,,,,,,,,,,,,,
0xdd3de6b64ada80f1296c3257f64c428e173e6728331d404be063cb1ad936664e-88,11521778,88,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,11.0,1100000000000000000000000,0x05f5521bd4a397982621735153db9af695f8a19c,allocationCreateds,,,,,,,,,,,,,,,
0x317f759ac1ffeeddf401c8ac21b3212ae840d9ea13f23272a0ead1fd86aec7da-296,11553928,296,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,16.0,1100000000000000000000000,0x2c274930e4747fd2f9c6a2374125208272a6df16,allocationCreateds,,,,,,,,,,,,,,,
0x4f1df286548aedb12e34cbe7a43fa4b8bc0434072838a5813039af151543d48f-203,11566843,203,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,18.0,1100000000000000000000000,0xcd9cc7f0845977fdebdb27eb398a2ec1aa4f3a14,allocationCreateds,,,,,,,,,,,,,,,
0xc48261bb37925578ae2554a7fc2d3400dd77c23263bf59e8d0e693fe45981674-224,11716778,224,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,40.0,1100000000000000000000000,0x0854e771c6cd4cafc1a4e75296167a1575f7e610,allocationCreateds,,,,,,,,,,,,,,,
0x62d7b9a1b0fc74361482ad623cd29d7ef7a14b1aef08047670fff4e3cb1a1a5a-91,11853521,91,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,61.0,1170000000000000000000000,0xbdf64bb5c53b4db3e8a1503853ead3951a1a3872,allocationCreateds,,,,,,,,,,,,,,,
0xdedb56b7d733f7a9f319d096b520a7737fc325cbc85a5e65ba5d38fdafd3e249-288,11985157,288,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,81.0,1170000000000000000000000,0x2d47ab0d13fe682b0f5f0442dd0464e7806d7bf3,allocationCreateds,,,,,,,,,,,,,,,
0x768814c06f3dd1e70b7b5cb1f3fecd2ed9ccfc4ccb58ae5212899ece32f9c3b7-98,12147491,98,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,105.0,1170000000000000000000000,0x2b8dc46c1e3331b7e31ecb4e9dc99be52a217b92,allocationCreateds,,,,,,,,,,,,,,,
0x954ac708704812d0cf2dc9dc45e12fad781df4946c923c9eebab38239035b509-277,12157352,277,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,106.0,1400000000000000000000000,0x6618e1b25ac31134302383649163dc4341ec7107,allocationCreateds,,,,,,,,,,,,,,,
0x6cab78d561e8c8b9959302ee71085ca61a7c81c9630bdb482a59653af23a4eb9-261,12283177,261,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,125.0,1400000000000000000000000,0xdeecde3ced8dd4af60e3090bb4511bfe02a4ab82,allocationCreateds,,,,,,,,,,,,,,,
0x87c97b9617e4c8ffe6b520dad892a6d692415f67d3f739292e91be17ab1159f4-151,12365904,151,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,138.0,1400000000000000000000000,0x9bd62617a1f78018ed86e048bab4d3f7f4efe749,allocationCreateds,,,,,,,,,,,,,,,
0x8088599428c8ee18d545d78eaa2b82868fdf01a33d57ed5879f18d979ec006d0-255,12378628,255,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,140.0,1400000000000000000000000,0x586176107b4d49b9ac2fd537fefab0589192098a,allocationCreateds,,,,,,,,,,,,,,,
0x31bfc0e9b3ed6bb33146989900134c85c813b3511c803cc6c3a851fa6131b415-118,12387383,118,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,141.0,1400000000000000000000000,0xaa21a0eae4a4b0ff733501859e75efa5fac3568b,allocationCreateds,,,,,,,,,,,,,,,
