id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0x731cc129b8e6ee30b865f37dbbaecc9989f007cb1c3dfec0a3a814b9f2906e6b-103,11494075,103,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0x0a0bc95eedc798a9933924ebe5672bf82f4f48a71e530c76746c99e462aaa546-220,11502097,220,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,50000.0,,,,
0x0766ba3915b2e68d4ae791de6a3372beb274153a17860f3671ff7c7d586a3eaa-65,11502543,65,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,980000.0,50000.0,,,,
0x3f2057126ecb16bb9f1b724f842bff5fef880e5728fb660592434c7da2768971-337,11553556,337,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,960000.0,100000.0,,,,
0x26e6c26089fdbb60d400f47de3a902a51094d360353c75930e450a7c3b18e056-229,11553786,229,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,600000.0,100000.0,,,,
0xdea6ba027bb75f00a80d1a7f6be5e0c4f7ee1106ca8088d95320df73b88cf3ea-33,11553808,33,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,960000.0,100000.0,,,,
0x227eac3c40cb22822eb854128df2ff2bf0fdfdf3ae52477a894e542048f9bd2b-225,11553833,225,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0xbdb8f43bf738b2c00706a0bc05ccb1bcb8349ea336953a1b044ee9d326881ae3-68,11566795,68,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,100000.0,1000000.0,,,,
0x11e283f1c93967964539f4e04c7d304a90d221f00e22fef03b95d1b87eecd9c7-187,11566843,187,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0xd33e549574ef50ae739f339610d27970dc7bad9baa1627996efbd4b5f1c654b5-99,11716739,99,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,210000.0,1000000.0,,,,
0x09d51469265895892daf12a054772212ce3f2bfc8cc35266261bf340591a6797-291,11716766,291,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0xd065e7862cd396ed2207c3d990d31bc5811ed3328f4d5b923aeaaa3701da6528-86,11853472,86,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,210000.0,1000000.0,,,,
0xa4ffbc3ca6a22245346bffd1086185b1f7da8ee34e86d05cdf30d45e64ba78ae-268,11853506,268,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0xe601de633af54e63c06eb869ee3ae3e5a7acb651f9e70be9962bd9ef03576d8b-242,11985108,242,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,20000.0,1000000.0,,,,
0x7cce5c1a4471b0a2417d1efb8d03a6b018d9593795d967dbeada20ff0864cca5-275,11985131,275,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
