id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0xbbc9235f07d5772f94605a68bca0c0070d102517d2bb0e80505a2f9e0152c038-252,11500121,252,0x76e84025978a0c16fc7ba483718b667388f2973c,,8.0,,,rewardsAssigneds,,,,,,,,,,,,,169398206014811200000,,
0x6f2dbfda538d64754761587484a4b36075b0af7e8bf62f8ae04999a313a85621-185,11500123,185,0x76e84025978a0c16fc7ba483718b667388f2973c,,8.0,,,rewardsAssigneds,,,,,,,,,,,,,650478571848043500000,,
0x20aebc73477a58246d86759f67c590880558840115780ff46ac5fa2103235730-242,11506702,242,0x76e84025978a0c16fc7ba483718b667388f2973c,,9.0,,,rewardsAssigneds,,,,,,,,,,,,,1995697950603866300000,,
0x2dcdb6fbf7ff45fb6f1d29bd98a0ef03444946e8462e98b658522be6383314da-262,11521768,262,0x76e84025978a0c16fc7ba483718b667388f2973c,,11.0,,,rewardsAssigneds,,,,,,,,,,,,,3014725864410246800000,,
0x8d71fa68ff7f47f3cd4ae691d13f3c3136cd0e3d0b11824e89a906af4ac444b5-62,11553801,62,0x76e84025978a0c16fc7ba483718b667388f2973c,,16.0,,,rewardsAssigneds,,,,,,,,,,,,,5430632018526278300000,,
0x2e324b04e221793ef3ab79e634b8a7d5219b582285a4e91f0c6c81d962e1c2b7-169,11566834,169,0x76e84025978a0c16fc7ba483718b667388f2973c,,18.0,,,rewardsAssigneds,,,,,,,,,,,,,1977200020316372500000,,
0xf98f835f544b61159874ed38fa75ea6e5ef2a213542a7a169f865bfe5727a784-152,11716760,152,0x76e84025978a0c16fc7ba483718b667388f2973c,,40.0,,,rewardsAssigneds,,,,,,,,,,,,,16723562699168018100000,,
0xf8f221c27ff5d4d5d06f67683e097cad0da40eb56a61adb860ab2cca46acb415-310,11853497,310,0x76e84025978a0c16fc7ba483718b667388f2973c,,61.0,,,rewardsAssigneds,,,,,,,,,,,,,10260626780526366200000,,
0x3a9f592fc178dba3728d1de6334393fd8db58f61161647e42ccf62fa989b32a3-314,11985124,314,0x76e84025978a0c16fc7ba483718b667388f2973c,,81.0,,,rewardsAssigneds,,,,,,,,,,,,,8385302955162601260000,,
0x8b471054ef693e6429113a0a0d161d9fb841f5ba7ac2e7f7b32b557609f2041b-315,12147479,315,0x76e84025978a0c16fc7ba483718b667388f2973c,,105.0,,,rewardsAssigneds,,,,,,,,,,,,,8841383379596268540000,,
0xdafce935ecf614d27fe3b2145e12ac3074059e4c8b4531762614700d4a9c9a41-125,12157331,125,0x76e84025978a0c16fc7ba483718b667388f2973c,,106.0,,,rewardsAssigneds,,,,,,,,,,,,,535217109848158140000,,
0x2a8f31e7d9dbfd430ffdfca644c5b3b70a2248c0a06385c0f6a6d0a0bafd47b1-196,12283045,196,0x76e84025978a0c16fc7ba483718b667388f2973c,,125.0,,,rewardsAssigneds,,,,,,,,,,,,,8049568352077071400000,,
