id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0x731cc129b8e6ee30b865f37dbbaecc9989f007cb1c3dfec0a3a814b9f2906e6b-104,11494075,104,0x76e84025978a0c16fc7ba483718b667388f2973c,,,100000000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0xed607bd981dff1fd57dd198a931554174ba9e1d5a4d88f4d728058ffc946d05b-243,11495700,243,0x76e84025978a0c16fc7ba483718b667388f2973c,,,1000000000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0xbbc9235f07d5772f94605a68bca0c0070d102517d2bb0e80505a2f9e0152c038-253,11500121,253,0x76e84025978a0c16fc7ba483718b667388f2973c,,,169398206014811200000,,stakeDepositeds,,,,,,,,,,,,,,,
0x6f2dbfda538d64754761587484a4b36075b0af7e8bf62f8ae04999a313a85621-186,11500123,186,0x76e84025978a0c16fc7ba483718b667388f2973c,,,650478571848043500000,,stakeDepositeds,,,,,,,,,,,,,,,
0x20aebc73477a58246d86759f67c590880558840115780ff46ac5fa2103235730-243,11506702,243,0x76e84025978a0c16fc7ba483718b667388f2973c,,,1955783991591788974000,,stakeDepositeds,,,,,,,,,,,,,,,
0x2dcdb6fbf7ff45fb6f1d29bd98a0ef03444946e8462e98b658522be6383314da-263,11521768,263,0x76e84025978a0c16fc7ba483718b667388f2973c,,,2954431347122041864000,,stakeDepositeds,,,,,,,,,,,,,,,
0x8d71fa68ff7f47f3cd4ae691d13f3c3136cd0e3d0b11824e89a906af4ac444b5-63,11553801,63,0x76e84025978a0c16fc7ba483718b667388f2973c,,,3258379211115766980000,,stakeDepositeds,,,,,,,,,,,,,,,
0x2e324b04e221793ef3ab79e634b8a7d5219b582285a4e91f0c6c81d962e1c2b7-170,11566834,170,0x76e84025978a0c16fc7ba483718b667388f2973c,,,197720002031637250000,,stakeDepositeds,,,,,,,,,,,,,,,
0xf98f835f544b61159874ed38fa75ea6e5ef2a213542a7a169f865bfe5727a784-153,11716760,153,0x76e84025978a0c16fc7ba483718b667388f2973c,,,3511948166825283801000,,stakeDepositeds,,,,,,,,,,,,,,,
0x66df7e6bc33b3c836841ff1b5d92f231b4ec8c38aff14232abeb5d0af418a432-141,11809193,141,0x76e84025978a0c16fc7ba483718b667388f2973c,,,70000000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0xf8f221c27ff5d4d5d06f67683e097cad0da40eb56a61adb860ab2cca46acb415-311,11853497,311,0x76e84025978a0c16fc7ba483718b667388f2973c,,,2154731623910536902000,,stakeDepositeds,,,,,,,,,,,,,,,
0x3a9f592fc178dba3728d1de6334393fd8db58f61161647e42ccf62fa989b32a3-315,11985124,315,0x76e84025978a0c16fc7ba483718b667388f2973c,,,167706059103252025200,,stakeDepositeds,,,,,,,,,,,,,,,
