id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0x731cc129b8e6ee30b865f37dbbaecc9989f007cb1c3dfec0a3a814b9f2906e6b-103,11494075,103,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0x731cc129b8e6ee30b865f37dbbaecc9989f007cb1c3dfec0a3a814b9f2906e6b-104,11494075,104,0x76e84025978a0c16fc7ba483718b667388f2973c,,,100000000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0xcf3be3148fb159f1db13121041d0fd614e3e16e6b4dc6b6662ebf5a8e0f6ae74-167,11494547,167,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,7.0,100000000000000000000000,0x453c54173029bc14f2bfbd7e80677b7de23e518e,allocationCreateds,,,,,,,,,,,,,,,
0xed607bd981dff1fd57dd198a931554174ba9e1d5a4d88f4d728058ffc946d05b-243,11495700,243,0x76e84025978a0c16fc7ba483718b667388f2973c,,,1000000000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0xa297119ef02909e1b1e68d4daac1eef6d17d68424f5196c051cd053489aaee87-194,11495797,194,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,7.0,500000000000000000000000,0xcf3ecb0305699b1f5c986657c2fc8284df64d2bf,allocationCreateds,,,,,,,,,,,,,,,
0xbbc9235f07d5772f94605a68bca0c0070d102517d2bb0e80505a2f9e0152c038-252,11500121,252,0x76e84025978a0c16fc7ba483718b667388f2973c,,8.0,,,rewardsAssigneds,,,,,,,,,,,,,169398206014811200000,,
0xbbc9235f07d5772f94605a68bca0c0070d102517d2bb0e80505a2f9e0152c038-253,11500121,253,0x76e84025978a0c16fc7ba483718b667388f2973c,,,169398206014811200000,,stakeDepositeds,,,,,,,,,,,,,,,
0xbbc9235f07d5772f94605a68bca0c0070d102517d2bb0e80505a2f9e0152c038-254,11500121,254,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,8.0,100000000000000000000000,0x453c54173029bc14f2bfbd7e80677b7de23e518e,allocationCloseds,0xd4c952951ace045fde16d5f919c6dc1d1bf161a0,False,,,,,,,,,,,,,
0x6f2dbfda538d64754761587484a4b36075b0af7e8bf62f8ae04999a313a85621-185,11500123,185,0x76e84025978a0c16fc7ba483718b667388f2973c,,8.0,,,rewardsAssigneds,,,,,,,,,,,,,650478571848043500000,,
0x6f2dbfda538d64754761587484a4b36075b0af7e8bf62f8ae04999a313a85621-186,11500123,186,0x76e84025978a0c16fc7ba483718b667388f2973c,,,650478571848043500000,,stakeDepositeds,,,,,,,,,,,,,,,
0x6f2dbfda538d64754761587484a4b36075b0af7e8bf62f8ae04999a313a85621-187,11500123,187,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,8.0,500000000000000000000000,0xcf3ecb0305699b1f5c986657c2fc8284df64d2bf,allocationCloseds,0xd4c952951ace045fde16d5f919c6dc1d1bf161a0,False,,,,,,,,,,,,,
0x75806d9b2b31469ad13777e3d20be279b2462319358d6965ae134e428e3ec078-265,11500130,265,0x76e84025978a0c16fc7ba483718b667388f2973c,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,8.0,1100000000000000000000000,0xb47e477cd1ee8a16253a35f37aff887ecec10b26,allocationCreateds,,,,,,,,,,,,,,,
0x0a0bc95eedc798a9933924ebe5672bf82f4f48a71e530c76746c99e462aaa546-220,11502097,220,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,50000.0,,,,
0x0766ba3915b2e68d4ae791de6a3372beb274153a17860f3671ff7c7d586a3eaa-65,11502543,65,0x76e84025978a0c16fc7ba483718b667388f2973c,,,,,delegationParametersUpdateds,,,,,,,,,,980000.0,50000.0,,,,
