,id,blockNumber,signer,type,nameSignal,versionSignal,tokens,subgraphId,subgraphDeploymentID,subgraphversion,subgraphname
0,0x4c1060853752b5221b1e27c2264034d0bd5fd86c5267f85090319dab28fc9dd8-228,11474121,0x93606b27cb5e4c780883ec4f6b7bed5f6572d1dd,MintNSignal,279284800875378823397,279284800875378823397,80000000000000000000000,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
1,0xea7dbe2f6164530a53ac8cf9d99b46993f44d8ca8258134ff0c7a2322308fc78-170,11476852,0x0f3cf18b37c55f5a319d6cae8d8ba114cb094af0,MintNSignal,627949250367270370,627949250367270370,360151469700892136118,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
2,0xfbdb37e510284ebbeb45fbfdf28191219faf84bc31bf04115df6545792aedc76-75,11476875,0x0f3cf18b37c55f5a319d6cae8d8ba114cb094af0,MintNSignal,125503147008134479971,125503147008134479971,88216309708626528177242,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
3,0xfbda17a348fb979ad36e27445d656b23458a938fadd251bdf520fa176cdb8887-218,11476931,0xb6916933aa0bac4b6d09260719c4055363642745,MintNSignal,89477475325111327822,89477475325111327822,82622974825605383769993,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
5,0x12925f181018abc41ef4fd32c6e95dab9ff85a6a833738db5357dd649290d39c-183,11692858,0x4f4538e2553c61bce747f73c5fe8133d4b383dda,MintNSignal,3085781289271725739,3085781289271725739,2000000000000000000000,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
6,0x50c2d537978d0e52aadd1094c84fbb1a48e646a4b8c77568d726aec1a2973268-160,11709953,0xe77d1505477f145bd9ab8d12e8545bd779573c31,MintNSignal,306418713405597429,306418713405597429,200000000000000000000,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
7,0xcea7ea231559dbb07282e2cb6fe0426a1e46b23477d47b228ec1623250ddad9a-19,12206920,0x673b6e9fe607f6ddf4a4f25b386b846c5c82995e,MintNSignal,1490304856452573,1490304856452573,1000000000000000000,ziL9z9yVvVoksZ5MhyQFNjtspRdxMNDvwtYasUtXCvN,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
8,0xfc1b9205413756ba051f8b8f9e1c9ddbc2678480e8d5be4e3307f9e229341546-156,12316001,0x673b6e9fe607f6ddf4a4f25b386b846c5c82995e,MintNSignal,147529798656557600,147529798656557600,100000000000000000000,Gv1rewdMuEeDQ9sWsWMjJfwKWrTxo5e19vgxr1br7Ut4,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0,PoolTogether
9,0xa67c09eba397a8892ce6d07c97b661e0419c8771f041da821742533bf4f96053-126,12316107,0x673b6e9fe607f6ddf4a4f25b386b846c5c82995e,MintNSignal,9874208829065749508,9874208829065749508,100000000000000000000,9a8QGQHhrXwuR8mxi4tZGwUkpSacBdzZokNWMj2Tvdow,0xbbde25a2c85f55b53b7698b9476610c3d1202d88870e66502ab0076b7218f98a,0,PoolTogether
10,0x4b99f58463bfabe70e55660b6833af9045acda9fb82e1af2b5a89c952fb70f71-47,12316112,0x673b6e9fe607f6ddf4a4f25b386b846c5c82995e,MintNSignal,78993670632525996063,78993670632525996063,8000000000000000000000,9a8QGQHhrXwuR8mxi4tZGwUkpSacBdzZokNWMj2Tvdow,0xbbde25a2c85f55b53b7698b9476610c3d1202d88870e66502ab0076b7218f98a,0,PoolTogether
