id,blockNumber,logIndex,indexer,subgraphDeploymentID,epoch,tokens,allocationID,type,sender,isDelegator,from,curationFees,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward,beneficiary
0xcb621a8a549e4e3c616a7a1e27dc92b28722c90ac37f60fe1f1d5e5ed1ff0ecf-121,11474009,121,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,,,delegationParametersUpdateds,,,,,,,,,,1000000.0,1000000.0,,,,
0xcb621a8a549e4e3c616a7a1e27dc92b28722c90ac37f60fe1f1d5e5ed1ff0ecf-122,11474009,122,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,9615385000000000000000000,,stakeDepositeds,,,,,,,,,,,,,,,
0x938641c2dbfd4562c7ab8c60ca98f11394d161ead6b93008a91d97f068c6dcac-17,11474307,17,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,165851137200000000000000,,stakeDelegateds,,,,,,0x9fe0a203e190d87cef6b4b80b24fae73f243b3ea,165851137200000000000000,,,,,,,,
0x67278b0af539dff48945b3a430ada90de00526aed433a321215f3d1e36bcc97e-38,11474332,38,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,251819644650000000000000,,stakeDelegateds,,,,,,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,251819644650000000000000,,,,,,,,
0x19cf8bd30df43cc8518c16bfce7297c32495bbc3c4c1da83ef91f75cb678b8a0-162,11474426,162,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,,,delegationParametersUpdateds,,,,,,,,,,90000.0,80000.0,,,,
0x2fe9986fb33a19533e14dc68a42672fb1723fe137c8e6e520f8e4c150e196421-272,11474474,272,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,,,delegationParametersUpdateds,,,,,,,,,,80000.0,100000.0,,,,
0x1959bd2f0db2f95a3608e12c87c16122d2a822a1ddd309c2779bc90a321be401-84,11474496,84,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,6965000000000000000000,,stakeDelegateds,,,,,,0x53c0fa070e310ce1690b3c83b2ab7f20d74d4922,6965000000000000000000,,,,,,,,
0x9e1054a42c5a3159474cccc230a2d3838d535165657739089159fc5a29271ebb-190,11474499,190,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,9950000000000000000000,,stakeDelegateds,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,9950000000000000000000,,,,,,,,
0x1d7bf818ed90521f8c3617ba98a631a05d60f5f95d805ed88f39f9b64e56accc-181,11474504,181,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,1991758662500000000000,,stakeDelegateds,,,,,,0x32345932bc863f54ef87e2ece3d458f1789b1bfc,1991758662500000000000,,,,,,,,
0xa352109c91b2cc95255407a502b69ad0c33ff9a2ed06e6cc66ac20b68d507b0e-260,11474551,260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,100000000000000000000,,stakeDelegatedLockeds,,,,,,0x9327775e225a703125167eb423d246915bdc37e7,100000000000000000000,1608259750.0,32.0,,,,,,
0xaa968b7c22677764fbd8a8fd538d99e34829857329139876725ca7f589c57339-285,11474568,285,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,503905083650000000000,,stakeDelegateds,,,,,,0xb300749c08cab1c9ce67f66a18ea5926360ba36a,503905083650000000000,,,,,,,,
0x5bbc9115362bb523298d2378cf8e5238c947f314915d215f3c28717b48a5bb02-5,11474607,5,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,65257075000000000000000,,stakeDelegateds,,,,,,0x57b4a5f470c85d4281f7baf5162b59243a3491df,65257075000000000000000,,,,,,,,
0x18cb0cf3c94ed5aee7c925b9691535fb78e0419d54e37de9c092a44e75f7bd30-67,11474621,67,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,65257075000000000000000,,stakeDelegatedLockeds,,,,,,0x57b4a5f470c85d4281f7baf5162b59243a3491df,65257075000000000000000,1608260777.0,32.0,,,,,,
0x31dbb2968fd0257b8c54bfbe8f94b83f5a19b973954732264235c2f39170d249-125,11474679,125,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,,,delegationParametersUpdateds,,,,,,,,,,900000.0,900000.0,,,,
0x07f058e4212ea4115857cd68ed38d6eba0a8fc84977c628be74c91370437ea4f-65,11474769,65,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,39800000000000000000000,,stakeDelegateds,,,,,,0xb7797cb7b4a031c4c1e04ea14824fa5d8d30beed,39800000000000000000000,,,,,,,,
0xd8ed1d9dca49483691be9f5666083e2653871c3517ce7c97cf0136376e19cb3e-216,11474834,216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,12488567623993900000000,,stakeDelegateds,,,,,,0xf5376e847efa1ea889bfcb03706f414dade0e82c,12488567623993900000000,,,,,,,,
0x514c2481697fa4cdb572708727c3ba0519912390247eeb4b703ca83387049948-19,11474849,19,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,14169714085664846265000,,stakeDelegateds,,,,,,0x1853bf6a892abd949aed052bb634ab96afaf31dd,14169714085664846265000,,,,,,,,
0x23f76a8dcc384453d0806f98bad397583a84e9f572ef80e26336a24b2a45cefd-27,11474860,27,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,,,delegationParametersUpdateds,,,,,,,,,,800000.0,800000.0,,,,
0x14b0c8979f1f246960a4145a594db37a7a440082451eaf53b0075b9af9320bb0-111,11474886,111,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,14169714085664846000000,,stakeDelegatedLockeds,,,,,,0x1853bf6a892abd949aed052bb634ab96afaf31dd,14169714085664846000000,1608264240.0,32.0,,,,,,
0x19933330347d5297d8b1c140ce8abf8f7b79c84752c60220adfae6f203546338-96,11475170,96,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,765384845000000000000000,,stakeDelegateds,,,,,,0x1beda87a78e838687668ce2c564f1746dce7396e,765384845000000000000000,,,,,,,,
0x77ee16992ad41f4f9aab385015bf8c035bb2d1eec5a6ff7f79e3689126a4cab9-128,11475210,128,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,12488567623993900000000,,stakeDelegatedLockeds,,,,,,0xf5376e847efa1ea889bfcb03706f414dade0e82c,12488567623993900000000,1608268926.0,32.0,,,,,,
0x11d12e4e40232247ba695bb303b0ea709873707de2cb1e4e27128b0eed7c7748-48,11475238,48,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,4002893379514657642500,,stakeDelegateds,,,,,,0x7eb692f22af33d637aab31f9277653235682ebe6,4002893379514657642500,,,,,,,,
0xe1c4709dd20102a80e0a308ab0394e80c909a63807c366be7bd509dc4ca724d4-172,11475531,172,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,9950000000000000000000,,stakeDelegateds,,,,,,0xb4ecbb9d116a2b38cee4ede75b0a96746a175efb,9950000000000000000000,,,,,,,,
0x9d8240246c88c9d4b3227b1c0dea892178e6f4588cf11faa9763bc65ebf1ef44-23,11475758,23,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,646750000000000000000,,stakeDelegateds,,,,,,0x4e43a0cd79a9324645167e70aa6cdbdfa91a43e9,646750000000000000000,,,,,,,,
0x42b390e8b780e2a0c1bfc28867e197f22546a2aae493bc2469f7254450dd6ef7-290,11475825,290,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,907701685000000000000000,,stakeDelegateds,,,,,,0xe6368e677871b288294536c8fe6cb1bbeb19f7a2,907701685000000000000000,,,,,,,,
0x88b8ca621050b16363ba338c1901b62f3b5eecbb63064993b2be7524d1d8bd0e-17,11476053,17,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,10185289624385739620000,,stakeDelegateds,,,,,,0x60696f9d6ab5d99560bd04a98c718731735edd5c,10185289624385739620000,,,,,,,,
0xbe0121652f5311fdaea17fb2d96668617a5151471de1e1f584f941ef5f7289ea-256,11476058,256,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,2296153540000000000000000,,stakeDelegateds,,,,,,0xa8df6bbc65cf526fbc6392524d113cf5b7c8a93e,2296153540000000000000000,,,,,,,,
0x458b0a96ee7124406ed800d8159a6f5804c2a30017b48a3ef74bd3b733fba4ac-161,11476150,161,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,111440000000000000000000,,stakeDelegateds,,,,,,0x539c82d5cb886c94dd3e2d76dd5c73936c1cf391,111440000000000000000000,,,,,,,,
0xe650675328ce4b69e45ac0029d1d80cd7ae81afc71871f3bf0bf439e00e26e1e-284,11476650,284,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,74625000000000000000,,stakeDelegateds,,,,,,0xb6ad6f1e372ce48beeecce0580fc03a76eea5249,74625000000000000000,,,,,,,,
0xb27da2040a1ef0857b8be303f71436bcb6b66ef9a567fd010af3cc59f85f4fbf-12,11476691,12,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,28340571645879871300000,,stakeDelegateds,,,,,,0xfbfd491bc1e89782fb01219c5fd8462c039d0d7e,28340571645879871300000,,,,,,,,
0x431300ec6fa7c6936a1656f85bf75db40f97f64ddae41ab27be18ed445971820-219,11476789,219,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,24875000000000000000,,stakeDelegateds,,,,,,0xb6ad6f1e372ce48beeecce0580fc03a76eea5249,24875000000000000000,,,,,,,,
0x2cce144bc10722bcf377412a7047bd4df29831251b56a366fce3a268e83bdd33-76,11476833,76,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,9950000000000000000000,,stakeDelegateds,,,,,,0x46917890a173a6c119f172aac9bf65a2e9a2e6a7,9950000000000000000000,,,,,,,,
0xe15095e62324c9dee083975243bf571c74782e10add3a18abb8e93d91d9efed5-282,11476942,282,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,11552945000000000000000,,stakeDelegateds,,,,,,0xb73f819a15b979c5b4af2dcf1b2817bd073eda64,11552945000000000000000,,,,,,,,
0x737c1840e02d11135232bf7c11eabf71ef7e0204b0154334508d5b08b887f89f-260,11477175,260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,132706115100000000000000,,stakeDelegateds,,,,,,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,132706115100000000000000,,,,,,,,
0x837f3e5001ae75b02401f225d848d9c8c84cfd96da9752ff62cc9f18733e22ab-94,11477210,94,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,2487500000000000000000,,stakeDelegateds,,,,,,0x5f3cb118b93237b2b0ec7205ec43807e5d4d63e6,2487500000000000000000,,,,,,,,
0xfb3a6dd7449f3a89bc020896cdf6f1281cf98387486fdcecbac63a6622bc60ab-253,11477232,253,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,4.0,4807692000000000000000000,0xb9ea968ea1cdf85bf2390e7703270e1f75168058,allocationCreateds,,,,,,,,,,,,,,,
0x0d9dca553ffa90476e1e0af918fda92b4986699e608e0d9a3c859b9db6ea06bf-94,11477234,94,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,96816288431287805084285,,stakeDelegateds,,,,,,0x4e58b97ce2c9a687ff6df2ba7f8f7217ad44327d,96816288431287805084285,,,,,,,,
0x24da63bdf5f0ab8e715a29cb670ed4521a14427e41c46eff615d9268d85387c1-118,11477243,118,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,4.0,4807692000000000000000000,0xaceef199756a63f97b0f31bfebb7065b17796971,allocationCreateds,,,,,,,,,,,,,,,
0x93437ccc6ac4f7237e6b9c01d7652af4300261f785879a71e19a601664005136-259,11477428,259,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,132706115100000000000000,,stakeDelegatedLockeds,,,,,,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,132706115100000000000000,1608297555.0,32.0,,,,,,
0x020f744549a282dadb882112879eafe323e8ea3dc3b3d76d1b118b9c4c7c348f-216,11477441,216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,497500000000000000000,,stakeDelegateds,,,,,,0xe0ddee528856195af906eb5c7645ddcb6dbbe1c0,497500000000000000000,,,,,,,,
0x205b5d4465c3c020e13aa10843ae4c6a30f4ea326b2cb0df7e6a89dce5d9fc45-288,11477548,288,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,895500000000000000000,,stakeDelegateds,,,,,,0xcff76a3c6904456e71c40398b09bc70d3926fa6b,895500000000000000000,,,,,,,,
0x69bbf2a6daf3f0215da25f0b0d967ff41a413e07d7598b411070422109da2797-206,11477638,206,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,66354560000000000000000,,stakeDelegateds,,,,,,0x9b921fad875b06183d3992a125026c89915d71f6,66354560000000000000000,,,,,,,,
0x79ae28ed0614f7013db2a7afac3086e0f92659b02b2dee056a0a5338c41d4cd8-202,11477704,202,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,28387350000000000000,,stakeDelegateds,,,,,,0x9520b26f843414a59d57775a2046acb2bdd2020f,28387350000000000000,,,,,,,,
0x183833a8c566545a3f0e711f6b83ac2ca60ab0ca4388f8352cef4f7f44ea8122-202,11477706,202,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,33167330000000000000000,,stakeDelegateds,,,,,,0xd1818a80dac94fa1db124b9b1a1bb71dc20f228d,33167330000000000000000,,,,,,,,
0x1938942a138671361660868f6355bf850d03b2b8d3860faaf2b58d29222e7cfd-274,11477707,274,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,4621775955200000000000,,stakeDelegateds,,,,,,0xc1d7be08f873e2121d5565aa862d2d9e4681e290,4621775955200000000000,,,,,,,,
0x74e267851417254e0afd12edf086e4292a753d1a2ed2ddbea7b6dc1b1de6c2fb-132,11477790,132,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,70851867092362550000000,,stakeDelegateds,,,,,,0xe816c2932724655782a81009cab64bc45446afb0,70851867092362550000000,,,,,,,,
0xa3f4940040db328066b9d99e7db672c7aa024184469687232e933f11b48c2d88-239,11477827,239,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,362180000000000000000,,stakeDelegateds,,,,,,0xf5adc2c1e3f5fabe72e57a86449da151cf3a47b0,362180000000000000000,,,,,,,,
0x249d521531b31367ee074cb2b10eb47da295fe26bec3718380e6651300d8a487-189,11477951,189,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,796000000000000000000,,stakeDelegateds,,,,,,0xe39bc99b80a9efd0f14f82aea1406eee93d456f2,796000000000000000000,,,,,,,,
0xf88fcc8b713b6cc6808cdcd625ba5d3d8b8ce0c1ac3147ceac37d89c500fe80a-260,11478034,260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,1592000000000000000000,,stakeDelegateds,,,,,,0x424b8722b214174ccdcc92c85b376673c46b8689,1592000000000000000000,,,,,,,,
0xfd074e8acc76778d8bad5884029821336c1c3804a7c2efd1a56c162542c0db34-224,11478035,224,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,10185289624385739620000,,stakeDelegatedLockeds,,,,,,0x60696f9d6ab5d99560bd04a98c718731735edd5c,10185289624385739620000,1608305964.0,32.0,,,,,,
0xfc442cc92e63587d9f6767dcc7a0c74663e9040db61b5a740ffc5e6a1426dcb1-151,11478058,151,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,11552945000000000000000,,stakeDelegateds,,,,,,0x65edea46429767082b796aa93f3bcfb674be43c6,11552945000000000000000,,,,,,,,
0x94275039c469458ab8d0feb8e99b4b6c0f4752b27541cb7cbe42fbbc717ebe6b-59,11478081,59,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,14064325000000000000000,,stakeDelegateds,,,,,,0x45648f5bab757406902cde440b791c06175a7810,14064325000000000000000,,,,,,,,
0x69987273f8cb0dc3d7d7c1d49ee2b53d67b886a826363674b51ab6641abc303e-253,11478205,253,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,895500000000000000000,,stakeDelegatedLockeds,,,,,,0xcff76a3c6904456e71c40398b09bc70d3926fa6b,895500000000000000000,1608308246.0,32.0,,,,,,
0x664089ac9abf8d0fee295b9bae7ac90f9947ae4fe4585931685036da2efdb071-39,11478517,39,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,4975000000000000000,,stakeDelegateds,,,,,,0x35bd2f4c5fe1eb298d27e2efffc9ad70481447eb,4975000000000000000,,,,,,,,
0x8d51f72e3258149cfb2c9771cb2d251da8b61a2a474b6db13e8d3159049cb151-129,11478547,129,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,129177367500000000000000,,stakeDelegateds,,,,,,0x089f5d91572383c46041a32751bf7d0c711b7d69,129177367500000000000000,,,,,,,,
0x5955954ef13e8aac263dd4e5e82c82a3194e8bc242be28f22478ef882bde0014-136,11478645,136,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,49750000000000000000000,,stakeDelegateds,,,,,,0x5886cf93fa5d2c126f2f60a485cec5392cea8fa5,49750000000000000000000,,,,,,,,
0x3ee1f13c2e92e05248e5ce0d062189c36169900b3130b2d821bb62ce2d9bcdc1-233,11478656,233,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,162534802200000000000000,,stakeDelegateds,,,,,,0x7bdcb057735391d293c11945c5240434d1d85ead,162534802200000000000000,,,,,,,,
0xfd62c91a6ffbf12991ec5670acd64932f8188ebe56df7ae35ad7c929987d0ac6-188,11478785,188,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,886642139860000000000000,,stakeDelegateds,,,,,,0xc9ede68e6176727a7d878163c8adf2d528e45ac4,886642139860000000000000,,,,,,,,
0x18e34c44e928b7f98a0aee6b2b2cddf05dfbfd56d5e4dc4b7343535eec69f27a-73,11478851,73,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,497500000000000000000,,stakeDelegateds,,,,,,0x73529f7ffa31b66f27f83d2bf549f8b8bae87f42,497500000000000000000,,,,,,,,
0x620d3f75131e453714f73534907c5b935e8d8686ddbf2f3ec8c1d52a174b0d3a-307,11479056,307,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,19250697746793000000000,,stakeDelegateds,,,,,,0x1eda5b5fc4b6fce3dc442381a46088850f206eca,19250697746793000000000,,,,,,,,
0x3f47cb7110b7fe04afbb55af7c9b0073db1e2188d104b271a443bb3a9f18c6f5-301,11479146,301,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,2864066030722599247000,,stakeDelegateds,,,,,,0xa57033c944106a32658321ec4248ae3571521e9e,2864066030722599247000,,,,,,,,
0x3b782f9408d0c9183a0fe4adcb4292945d5a468216faa892f9366d558cc8f106-96,11479147,96,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,14925000000000000000000,,stakeDelegateds,,,,,,0xd68dbee8b3f702d6efc5d1504e043cc852007b52,14925000000000000000000,,,,,,,,
0x78fd40ca9c2720e5b3e55e8cb2a2d32bdc97c9c96520c639764a273e3d98d371-157,11479166,157,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,199000000000000000000,,stakeDelegateds,,,,,,0x3d088b87c048e5fd4e3a6f9cc04490501b1dbae1,199000000000000000000,,,,,,,,
0xca7b40d86fcebd1fa3beb2614770d81c513d507a9ac1d044ec94694be731342b-236,11479195,236,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,2207484109079750000000,,stakeDelegateds,,,,,,0x4861a10ad69a7a6ca29384b21ca9b0f4d875af86,2207484109079750000000,,,,,,,,
0x4e69c024839290823ef4599dfb07d001f9aae77924c1c35c38b5e9afaf7e56d8-223,11479196,223,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,199000000000000000000,,stakeDelegateds,,,,,,0x741a9c2287e3f91d5f5e57cd3d0ccde375219109,199000000000000000000,,,,,,,,
0xb740dbabbcd2df0fcbfc9ceb07c61e281b06d28f359f177d6044ee41ddbb6485-264,11479202,264,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,6505310000000000000000,,stakeDelegateds,,,,,,0x81b4687d4193916aa6cf65360bf96b1e4279278a,6505310000000000000000,,,,,,,,
0xa197511e23cd3caec5418aa76484186588d448bcfee391e54fd3a7a78c6e8a8d-191,11479284,191,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,99500000000000000000000,,stakeDelegateds,,,,,,0x17080b589cdcbd10ebeaa24cb0096f4bb29eb52b,99500000000000000000000,,,,,,,,
0x059c2a8b505ebcac8bb51f697d1d8bf1e913853acb842ac393157db02789c3f3-195,11479444,195,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,447750000000000000000,,stakeDelegateds,,,,,,0x3727321b9b1318c2716b743e4eea28e0c8fc7f58,447750000000000000000,,,,,,,,
0xb9d9faf2fc39b75db3eff9a12997d863702ea260947f874503c67482dc87a04a-87,11479448,87,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,251819644650000000000000,,stakeDelegatedLockeds,,,,,,0xd776a7306ee6a060cebb46b46d305e88fd39ba84,251819644650000000000000,1608324617.0,32.0,,,,,,
0xff9d0a37e6bba6c6ae32dabaf268d777e663f1c3886bf7d901b2bfa095450b77-225,11479523,225,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,6505310000000000000000,,stakeDelegatedLockeds,,,,,,0x81b4687d4193916aa6cf65360bf96b1e4279278a,6505310000000000000000,1608325601.0,32.0,,,,,,
0xdadfdc603c45a858640fc51bad13fbb74b4598647d01355c4503522b33efe6bb-228,11479758,228,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,,,597000000000000000000,,stakeDelegateds,,,,,,0x8173fe6e01d386eec497a2e9dd79320b8e0a14ff,597000000000000000000,,,,,,,,
