         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003 2179.053 2179.053 run.py:5(run)
        1    0.000    0.000 2178.969 2178.969 __init__.py:68(execute)
        1    0.001    0.001 2178.951 2178.951 execution.py:112(local_simulations)
        1    0.000    0.000 2178.949 2178.949 execution.py:14(single_proc_exec)
        1    0.000    0.000 2178.941 2178.941 simulation.py:207(simulation)
        1    0.000    0.000 2178.940 2178.940 simulation.py:230(execute_run)
        1    0.007    0.007 2178.940 2178.940 simulation.py:185(run_pipeline)
     1529    0.078    0.000 2178.932    1.425 simulation.py:150(state_update_pipeline)
    25993    2.936    0.000 2178.853    0.084 simulation.py:103(partial_state_update)
   129965    0.090    0.000 1192.041    0.009 simulation.py:123(generate_record)
   103972    0.357    0.000 1191.951    0.011 simulation.py:124(state_scope_tuner)
     1529    2.944    0.002 1157.063    0.757 agent_behaviors.py:2(get_agent_actions_next_timestep)
     1529    1.912    0.001 1154.115    0.755 abstract_agent.py:70(getAction)
     1529 1151.670    0.753 1152.200    0.754 delegate_front_runner.py:30(generatePlan)
475023855/25996  496.615    0.000  962.311    0.037 copy.py:128(deepcopy)
39771571/26028  218.415    0.000  962.214    0.037 copy.py:226(_deepcopy_dict)
10003362/25989   33.250    0.000  960.789    0.037 copy.py:258(_reconstruct)
 19038166   42.555    0.000  469.341    0.000 copy.py:200(_deepcopy_list)
940180214   47.631    0.000   47.631    0.000 {method 'get' of 'dict' objects}
 68813099   23.949    0.000   36.390    0.000 copy.py:242(_keep_alive)
612676054   29.467    0.000   29.467    0.000 {built-in method builtins.id}
 20006724    6.094    0.000   23.499    0.000 copy.py:263(<genexpr>)
    25993    0.474    0.000   21.279    0.001 simulation.py:24(get_policy_input)
    25993    0.176    0.000   20.253    0.001 simulation.py:36(get_col_results)
   207944    0.109    0.000   20.078    0.000 simulation.py:42(<lambda>)
   207944    0.503    0.000   19.968    0.000 simulation.py:37(policy_scope_tuner)
     1529   18.946    0.012   19.649    0.013 delegator_behaviors.py:110(undelegate)
342793488   19.385    0.000   19.385    0.000 copy.py:182(_deepcopy_atomic)
     1529   15.174    0.010   15.189    0.010 indexer_behaviors.py:22(get_delegation_parameter_events)
 39875555   12.827    0.000   12.827    0.000 {method 'items' of 'dict' objects}
 88964553    9.855    0.000    9.855    0.000 {method 'append' of 'list' objects}
 63513436    5.788    0.000    5.788    0.000 {built-in method builtins.getattr}
     1529    4.192    0.003    4.199    0.003 bookkeeping.py:3(set_block_number)
     1529    2.979    0.002    4.039    0.003 delegator_behaviors.py:25(delegate)
     9077    4.020    0.000    4.020    0.000 {built-in method builtins.print}
 63001696    3.717    0.000    3.717    0.000 {built-in method builtins.issubclass}
 10003362    3.604    0.000    3.604    0.000 {method '__reduce_ex__' of 'object' objects}
 10003362    2.426    0.000    3.170    0.000 copyreg.py:94(__newobj__)
     1529    1.402    0.001    2.492    0.002 indexer_behaviors.py:6(get_stake_deposited_events)
     1529    2.013    0.001    2.014    0.001 bookkeeping.py:27(increment_timestep_due_to_agent_event)
 10003365    1.954    0.000    1.954    0.000 {method 'update' of 'dict' objects}
 43505048    1.718    0.000    1.718    0.000 {method '__deepcopy__' of 'decimal.Decimal' objects}
     1529    1.075    0.001    1.570    0.001 delegator_behaviors.py:178(withdraw)
        1    1.537    1.537    1.537    1.537 {built-in method _pickle.dump}
 20010342    1.536    0.000    1.537    0.000 {built-in method builtins.isinstance}
