id,blockNumber,logIndex,indexer,tokens,subgraphDeploymentID,allocationID,delegationFees,epoch,type
0x21b22db16997d38a35682aa26c140069bb7f3fde3677353f1185fb4bb3f5d222-101,11526524,101,0x72acbecf3013d7b27421185d3bf369520bf552c8,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xd417b5ff6b20abffd4f3bcff53eaed723b73ca8e,0,12,rebateClaimeds
0x45e4322528ed1a163d728e854e05ae9947836634e5ae4f2f39f0ea5add7fa4bd-327,11526524,327,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xfb66522aad77ebbefd1024a6246f93bbf9a03a91,0,12,rebateClaimeds
0x8c22dd00d8fb6c37c4adbe1185f711b6ec4968a2e1c793c0383bb1e662029b7e-326,11526524,326,0xa959b5afe73c6faa803541b5c4edc0492dfda294,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x566bb471e1dec5d97985981b86503dd4be561479,0,12,rebateClaimeds
0xa18afcd97768f2185ea4b3b8ab15086f8088d847c3e0994c9a59eeb0f1ea72b8-100,11526524,100,0xf3f182e859f789af8d6c2223d15c691471c79a2b,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x6450902c5bdd2e7edcd02aae02128cdd16c50616,0,12,rebateClaimeds
0x194591d62f3150d22dc03baaafa093e956759385b8d9bafc1016f616a0d6cd53-49,11526525,49,0xf3f182e859f789af8d6c2223d15c691471c79a2b,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x69f1fad4cfccf08100c0c2621c8716f5171e4361,0,12,rebateClaimeds
0x5bb8c07a8f4340ff6700e2a654b6581523fd4d05d52bb255ac44e53fae608650-223,11526525,223,0xa959b5afe73c6faa803541b5c4edc0492dfda294,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xfbc5e8d942122bbad88f4868500356bc59164c8f,0,12,rebateClaimeds
0x8101b5dc5ef5f2a8618044cc497f34e632b3afb682522580e105b016a95003bf-50,11526525,50,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xa68defee8341d3b74c48e16409ac5d6837f31349,0,12,rebateClaimeds
0x42c80d8c043ad0d8f4f2303f0ae4049f656eda762eebc5a629d310bc77fa3635-276,11526527,276,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xaceef199756a63f97b0f31bfebb7065b17796971,0,12,rebateClaimeds
0xadc7fcc60210c598edb9b8932ba9587fc5226e7bb0213eb301ba9c2f9fbc0bdc-288,11526527,288,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x1e18e214c09dac10f8e10d1411a4011dc3581e80,0,12,rebateClaimeds
0xd97dff701308cfd6a4ecf21476dc7608e85d0a3a9aa7ec08193992ad0cd23c55-301,11526527,301,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x0ca4a9f9b1a36401007040a82a7f5b44479e8023,0,12,rebateClaimeds
0xe2d26a562fa1e049c71bec1b4d303939c465870562eee5e23e4c18a4e621908a-51,11526527,51,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xbe5dd45869f0a49cb8715b613916f24b4358d9bd,0,12,rebateClaimeds
0xf92f3cb43288473e1bc5b23d1ffb0e05422c97a8dd160191868f0c85aaef4e9b-55,11526527,55,0xf3f182e859f789af8d6c2223d15c691471c79a2b,0,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0xa5b928782cef4908a4cbb27f55921e383f984124,0,12,rebateClaimeds
