"blockNumber","address","totalsupply"
"11453414","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000000000""
"11460060","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000000000""
"11466706","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000000000""
"11473352","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000000000""
"11479998","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""9999886857.861555189955453503""
"11486644","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000365599.000362658362778328""
"11493290","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000289156.716355996698170661""
"11499936","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000690683.600805346624936945""
"11506582","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000816430.927241005117284435""
"11513228","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000443576.259379985142590255""
"11519874","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10000590016.488994762913264015""
"11526520","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10002159295.075589314178671469""
"11533166","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10002640703.000892529602503893""
"11539812","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10003043279.075388355329008704""
"11546458","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10003378092.959301172734117812""
"11553104","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10004363421.630198186563572519""
"11559750","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10004685753.406737935541471231""
"11566396","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10005268157.447584551167242821""
"11573042","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10006833691.539855181352699839""
"11579688","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10007103254.50537029349234649""
"11586334","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10007710882.369188218884525217""
"11592980","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10008219920.781243027462747728""
"11599626","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10008701376.204243926298009558""
"11606272","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10008604856.027829157883622465""
"11612918","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10008819326.315076852278829218""
"11619564","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10009402736.908917487024920479""
"11626210","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10010112867.419934195200114944""
"11632856","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10010468830.967752289750909392""
"11639502","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10011072387.803308799441210302""
"11646148","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10011668115.144468012928098175""
"11652794","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10012448374.144995037555691713""
"11659440","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10013665902.824325393214902354""
"11666086","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10016102936.340189228829238315""
"11672732","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10016942383.323096627180807678""
"11679378","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10017251809.901951800444563825""
"11686024","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10017565500.677884287365352423""
"11692670","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10018134239.050278784928278376""
"11699316","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10018712816.164976792005010944""
"11705962","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10019504606.473326155484084581""
"11712608","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10019883440.972001439641353612""
"11719254","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10020347315.701334913490383174""
"11725900","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10021809493.796737511732783925""
"11732546","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10023429364.375214074604632097""
"11739192","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10023792871.387975366741201548""
"11745838","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10023991185.318715292774933903""
"11752484","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10024367628.833231474865125039""
"11759130","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10025080690.548805404183988279""
"11765776","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10025789178.858669688293929678""
"11772422","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10026717461.502795719354808662""
"11779068","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10027086532.537170988845193917""
"11785714","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10027109216.203235982474333999""
"11792360","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10027521422.095311922890108606""
"11799006","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10027859455.532326113797693661""
"11805652","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10028778656.145612361530078819""
"11812298","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10029477742.013824845673233205""
"11818944","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10030097864.673364747442727625""
"11825590","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10030257988.362420443794270853""
"11832236","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10030907533.904061468252279093""
"11838882","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10031753706.22278449566647123""
"11845528","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10032066733.093933295974713606""
"11852174","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10032395107.317026759270354314""
"11858820","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10033921481.579403859400713088""
"11865466","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10034691886.195391880592101826""
"11872112","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10036867376.619341705224200395""
"11878758","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10037791478.243981866529084817""
"11885404","0xc944e90c64b2c07662a292be6244bdf05cda44a7",""10038256131.803211056535225415""
