,id,signalledTokens,stakeDeposited,totalQueryFees,curatorQueryFees,totalRewards,endBlock,total_supply
0,0,0,0,0,0,0,11453414,1000000000.0
1,1,0,10000000000000000000,0,0,0,11460060,1000000000.0
2,2,0,0,0,0,0,11466706,1000000000.0
3,3,0,2137573000000000000000000,0,0,0,11473352,1000000000.0
4,4,244919450103834483981271,72326775000000000000000000,0,0,0,11479998,999988685.7861555
5,5,0,48119513876353513935471811,0,0,690612880086046382273295,11486644,1000036559.9000362
6,6,0,58229882095246030700280898,0,0,713053968477522628710624,11493290,1000028915.6716355
7,7,0,10926850308388123729468482,0,0,583830517711935680747684,11499936,1000069068.3600805
8,8,0,25302551127469273686895417,0,0,491123370714033507317440,11506582,1000081643.0927241
9,9,0,7236153688145260547844152,0,0,484872215622414257728770,11513228,1000044357.6259379
10,10,0,10670638110219502138778091,83776397081175868145,8293863311036410945,248392044898025070224131,11519874,1000059001.6488994
11,11,0,8830171692986217441379823,414284106018456208305,41014126495827164607,1612493088434051641108309,11526520,1000215929.507559
12,12,975000000000000000,221872150441919642940652,898696730421663090212,88970976311744645903,542406586290895582241538,11533166,1000264070.3000892
13,13,0,1682694111107062118592512,854261712534545904419,84571909540920044522,624674135959628890048584,11539812,1000304327.9075388
14,14,0,226603162385070786571647,755065231671064876691,74751457935435422768,531715261692226026250400,11546458,1000337809.29593
15,15,0,2060618833120116812636166,579968282831159448736,57416860000284785402,1011551496563581031813008,11553104,1000436342.1630198
16,16,0,3952621616853092247484202,731789746147952727288,72447184868647319968,431710947121963137960147,11559750,1000468575.3406738
17,17,0,3435868714873249451044061,0,0,604253407081934801671590,11566396,1000526815.8468934
18,18,0,508701527559447465076285,1322337812534962039,130911443440961240,1585055833709852536398937,11573042,1000683369.1539855
19,19,0,1532656426147578960593134,803309164578133357917,79527607293235202417,421561901082529286166076,11579688,1000710325.450537
20,20,0,329074129856042346555990,1308139574317936877978,129505817857475750903,618830276108170146354313,11586334,1000771088.2369188
21,21,0,340512534126289143367855,0,0,635544367491503038969932,11592980,1000821992.0781243
22,22,0,324744703074703797095226,527716867888899349675,52243969921001035606,712486823811041929144712,11599626,1000870137.6204244
23,23,0,1857143720420951366223161,894859723735229104185,88591112649787681294,477971790749025849654780,11606272,1000860485.602783
24,24,0,2422211580283486138454159,954308937336660779988,94476584796329417195,461824516295866601379027,11612918,1000881932.6315078
25,25,0,283174108226848668033332,0,0,679993689398476645465761,11619564,1000940273.6908919
26,26,0,134112850827098409063683896,0,0,761902524639491832249013,11626210,1001011286.7419935
27,27,0,1517920438405497799218480,0,0,460686220750177514599448,11632856,1001046883.0967754
28,28,0,221292864435497669922222,0,0,756157873195857235741625,11639502,1001107238.780331
29,29,0,1138429480811747492981202,33365328986486205587,3303167569662134353,754366395171280516185278,11646148,1001166811.514447
30,30,0,407036204033436901957157,0,0,783875088078627959055038,11652794,1001244837.4144996
31,31,0,861711174854213939649531,0,0,1238794617027580987050141,11659440,1001366590.2824327
32,32,0,549122407997886785660913,0,0,2443492027053928373228961,11666086,1001610293.634019
33,33,0,258970406831745730022213,0,0,849850285748150704780713,11672732,1001694238.3323097
34,34,0,2271010301228697192236368,0,0,352320958182774514550997,11679378,1001725180.9901953
35,35,0,79252959538202915424113,3073275604638455042914,304254284859207049188,330183577783303681726959,11686024,1001756550.0677885
36,36,0,216993477056460010342142,586395547484731445438,58053159200988413091,739733014964040833662847,11692670,1001813423.905028
37,37,1950000000000000000000,168909050811377824940600,1014334365573769225871,100419102191803153335,589200577692264652753403,11699316,1001871281.6164978
38,38,0,212838427313185592736418,452210015798168785119,44768791564018709717,959257093328924526531478,11705962,1001950460.6473327
39,39,195000000000000000000,104841442941476421972078,230779159872293875487,22847136827357093666,467215739517588787408088,11712608,1001988344.0972002
40,40,0,128120603368669867500734,264462553084440848875,26181792755359644030,540569828473257278781024,11719254,1002034731.5701334
41,41,0,911865124281953042969554,968450270777976740132,95876576807019697268,1546689217799671879554229,11725900,1002180949.3796737
42,42,0,2959380812315575075890167,1658342290614273459164,164175886770813072448,1783194111041040923676372,11732546,1002342936.4375213
43,43,0,130548264795187321896645,516499027029787483498,51133403675948960863,413144625799263194531280,11739192,1002379287.1387975
44,44,0,15222387963219217218260864,1313754073949988304702,130061653321048842148,573350082067278207475371,11745838,1002399118.5318716
45,45,0,78846246922877189571423,965391747415741244138,95573782994158383148,413684463239643469026647,11752484,1002436762.8833232
46,46,0,462290844533430762589535,2528259530264011995044,250297693496137187486,877977150979349574960393,11759130,1002508069.0548806
47,47,0,162706430618921539655298,1273114588658596659520,126038344277201069283,844256606486970545196222,11765776,1002578917.885867
48,48,0,354534714199025351429497,548692798894894269859,54320587090594532701,1284338246210404070081584,11772422,1002671746.1502796
49,49,0,190260254408465907347464,1455789293315142821194,144123140038199139290,735700642084752695422366,11779068,1002708653.2537172
50,50,0,72275436762066839698399,4020953914777724129843,398074437562994688805,292619899817133348390347,11785714,1002710921.6203237
51,51,0,86955531447731359399086,1058214439397286664077,104763229500331379700,488454464011898628365413,11792360,1002752142.2095313
52,52,0,132343979164158043994993,369042750576203213694,36535232307044118116,363725480355702217263828,11799006,1002785945.5532327
53,53,0,693426021507670510516752,0,0,992364829052700303628816,11805652,1002877865.6145613
54,54,0,1293988930843508164354432,0,0,733479283775000157406588,11812298,1002947774.2013825
55,55,0,110000754953384247618079,0,0,641404066036806121041978,11818944,1003009786.4673365
56,56,0,50679511229607115086460,0,0,275042669729128706125896,11825590,1003025798.8362421
57,57,0,97497349447833944937020,0,0,673914575312980699616153,11832236,1003090480.2168158
58,58,0,330250250430145840105664,0,0,908748528652866743066129,11838882,1003175097.4486881
59,59,0,1320959918192205709304511,0,0,585821775345167297644422,11845528,1003206400.135803
60,60,0,409270728569943635844529,0,0,350918021032100408756721,11852174,1003239237.5581124
61,61,0,834498974920862533985257,0,0,1542194221136845056257781,11858820,1003391874.9843501
62,62,0,156153449257919525886263,0,0,825663845114704038237775,11865466,1003468915.4459488
63,63,0,2510315588139090523072656,0,0,2193023664358084155751220,11872112,1003686464.4883438
64,64,0,165474614402520852671781,0,0,948234328807365831897722,11878758,1003778874.6508079
65,65,0,114191023663300010827122,0,0,524436478809306969863926,11885404,1003825340.0067308
66,66,0,48086291665385642075362,0,0,428284523738849980875103,11892050,1003866039.4272208
67,67,0,838710232184564688037424,0,0,1365010008421564164208366,11898696,1004000028.1698158
68,68,0,70055355231214927292475,488287680171513923826,48262901304539840518,304677480979384731941471,11905342,1004029914.7691569
69,69,0,105767599577935695014846,306632207268742356761,30356588519605493282,720567041202614672585544,11911988,1004051905.0276816
70,70,0,157266911015770276075579603,25076805538240138096,2482603748285773670,320698855012967204572527,11918634,1004082922.8086356
71,71,0,124455297462774063995477,384204206298505575373,38036216423552051950,288821887086652571654327,11925280,1004046221.6398207
72,72,0,100272294684381803959745,264958335722457148982,26230875236523257737,543025942511545481033728,11931926,1004100043.5938135
73,73,0,42744375419908805681572961,597092594054727823195,59112166811418054491,486412304013777638296719,11938572,1004126943.8903439
74,74,0,573127822504367758772699,262465365829810313495,25984071217151221035,1329768833117360152771315,11945218,1004258357.0651991
75,75,0,137419630983660892091084,203362079124094769044,20132845833285382121,469044409694586682395997,11951864,1004286056.707094
76,76,0,258585383789988540411074,35543561801888555335,3518812618386966970,363061651714413882917041,11958510,1004319937.8357503
77,77,0,75115693574536290647844,74988885061488917463,7423899621087402828,462881078775813783562314,11965156,1004365355.7762762
78,78,0,1271419960176186603952541,250750458824704804836,24824295423645775670,365946184841506791628971,11971802,1004401072.1153738
79,79,0,174334324313522858963503,89630183623613111485,8873388178737698028,624559809252951527676139,11978448,1004455275.3676023
80,80,0,609112158117565570195230,1254495798022083532719,124195084004186269705,2846591512632524073263169,11985094,1004739587.2057786
