,epoch,allocation,signalledTokens,stakeDeposited,totalQueryFees,curatorQueryFees,totalRewards,endBlock,s_burned,cumulative_tokens,cumulative_tokens_with_burn,total_supply,total_supply_with_burn,signalled_total,signaled_total_with_burn
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0,0.0,11460060.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,3,0.0,0.0,213757.3,0.0,0.0,0.0,11473352.0,0.0,213757.3,213757.3,213758.3,213758.3,0.0,0.0
4,4,0.0,24491.945010383446,7232677.5,0.0,0.0,0.0,11479998.0,0.0,7257169.445010384,7257169.445010384,7470927.745010383,7470927.745010383,24491.945010383446,24491.945010383446
5,5,2359625.904,0.0,4811951.387635351,0.0,0.0,69061.28800860465,11486644.0,8055.740045496525,7240638.579643955,7232582.839598459,14711566.324654339,14703510.584608842,24491.945010383446,16436.20496488692
6,6,10962390.011,0.0,5822988.209524603,0.0,0.0,71305.39684775226,11493290.0,6800.40204554373,16856683.617372356,16849883.215326812,31568249.942026697,31561449.539981153,24491.945010383446,17691.542964839715
7,7,14440225.406,0.0,1092685.0308388122,0.0,0.0,58383.05177119357,11499936.0,0.0,15591293.488610005,15591293.488610005,47159543.430636704,47159543.430636704,24491.945010383446,24491.945010383446
8,8,25171510.19351673,0.0,2530255.1127469274,0.0,0.0,49112.33707140335,11506582.0,0.0,27750877.643335063,27750877.643335063,74910421.07397176,74910421.07397176,24491.945010383446,24491.945010383446
9,9,30824846.67361564,0.0,723615.368814526,0.0,0.0,48487.22156224143,11513228.0,0.0,31596949.263992406,31596949.263992406,106507370.33796418,106507370.33796418,24491.945010383446,24491.945010383446
10,10,22060190.012071773,0.0,1067063.81102195,8.377639708117586,0.8293863311036411,24839.20448980251,11519874.0,0.0,23152102.234609567,23152102.234609567,129659472.57257375,129659472.57257375,24491.945010383446,24491.945010383446
11,11,123512646.58810948,0.0,883017.1692986218,41.42841060184562,4.101412649582716,161249.30884340516,11526520.0,0.0,124556958.59607476,124556958.59607476,254216431.1686485,254216431.1686485,24491.945010383446,24491.945010383446
12,12,49386053.38610403,0.0975,22187.215044191962,89.86967304216631,8.897097631174464,54240.65862908956,11533166.0,0.09750069299343907,49462580.12404799,49462580.0265473,303679011.2926965,303679011.1951958,24492.042510383446,24491.94500969045
13,13,58949444.04241741,0.0,168269.41111070622,85.42617125345458,8.457190954092004,62467.413595962884,11539812.0,0.0,59180274.750486284,59180274.750486284,362859286.04318273,362859286.04318273,24492.042510383446,24492.042510383446
